game_id,team,wr1_snap_share,skill_snap_share,ol_starter_share,ol_starters,season
2013_06_NO_NE,no,0.74,0.41583333333333333,1.0,5,2013
2013_06_NYG_CHI,chi,0.99,0.3576923076923077,1.0,5,2013
2013_06_NYG_CHI,nyg,0.96,0.45454545454545453,1.0,5,2013
2013_06_OAK_KC,kc,0.89,0.41583333333333333,0.914,5,2013
2013_06_OAK_KC,oak,0.76,0.38461538461538464,0.8779999999999999,5,2013
2013_06_PHI_TB,phi,0.84,0.502,0.974,5,2013
2013_06_PHI_TB,tb,0.96,0.36615384615384616,0.9879999999999999,5,2013
2013_06_PIT_NYJ,nyj,0.84,0.3823076923076923,1.0,5,2013
2013_06_PIT_NYJ,pit,0.98,0.415,1.0,5,2013
2013_06_STL_HOU,hou,0.8,0.45,0.914,5,2013
2013_06_STL_HOU,stl,0.86,0.38461538461538464,0.9339999999999999,5,2013
2013_06_TEN_SEA,sea,0.84,0.501,1.0,5,2013
2013_06_TEN_SEA,ten,0.77,0.38461538461538464,1.0,5,2013
2013_06_WAS_DAL,dal,0.89,0.4454545454545455,1.0,5,2013
2013_06_WAS_DAL,was,0.92,0.3853846153846154,1.0,5,2013
2013_07_BAL_PIT,bal,0.95,0.43727272727272726,1.0,5,2013
2013_07_BAL_PIT,pit,0.91,0.42818181818181816,0.9640000000000001,5,2013
2013_07_BUF_MIA,buf,0.94,0.38461538461538464,1.0,5,2013
2013_07_BUF_MIA,mia,0.97,0.5,1.0,5,2013
2013_07_CHI_WAS,chi,0.98,0.43636363636363634,1.0,5,2013
2013_07_CHI_WAS,was,0.84,0.4166666666666667,1.0,5,2013
2013_07_CIN_DET,cin,0.98,0.41583333333333333,1.0,5,2013
2013_07_CIN_DET,det,0.91,0.4518181818181818,0.8333333333333334,6,2013
2013_07_CLE_GB,cle,0.96,0.45545454545454545,1.0,5,2013
2013_07_CLE_GB,gb,0.97,0.45272727272727276,1.0,5,2013
2013_07_DAL_PHI,dal,0.95,0.4518181818181818,1.0,5,2013
2013_07_DAL_PHI,phi,0.99,0.4175,1.0,5,2013
