date,home_key,away_key,home_open_spread,away_open_spread,home_close_spread,away_close_spread,open_total,close_total,source
2025-11-02,cin,chi,0.125,-2.5,2.892857142857143,-2.5,49.666666666666664,51.0,oddsapi-snapshots-2025
2025-09-21,tb,nyj,-5.5,5.5,-6.5,6.5,44.5,43.166666666666664,oddsapi-snapshots-2025
2025-09-21,was,lv,-7.0,7.0,-3.0,3.0,47.5,43.666666666666664,oddsapi-snapshots-2025
2025-09-28,kc,bal,1.4772727272727273,-3.4166666666666665,2.6363636363636362,-3.4166666666666665,48.333333333333336,48.5,oddsapi-snapshots-2025
2025-09-14,dal,nyg,-3.0,3.0,-5.5,5.5,44.5,44.833333333333336,oddsapi-snapshots-2025
2025-12-11,tb,atl,-5.5,5.5,-5.5,5.5,44.5,43.666666666666664,oddsapi-snapshots-2025
2025-09-28,sf,jax,-3.0,3.0,-3.1666666666666665,3.1666666666666665,45.0,45.333333333333336,oddsapi-snapshots-2025
2025-11-16,atl,car,-3.8333333333333335,3.8333333333333335,-4.166666666666667,4.166666666666667,43.833333333333336,41.5,oddsapi-snapshots-2025
2025-09-07,ne,lv,-2.6666666666666665,2.6666666666666665,-2.5,2.5,43.833333333333336,44.166666666666664,oddsapi-snapshots-2025
2025-09-11,gb,was,-2.5,2.5,-3.1666666666666665,3.1666666666666665,48.5,49.0,oddsapi-snapshots-2025
2025-10-12,gb,cin,-13.5,13.5,-14.333333333333334,14.333333333333334,44.333333333333336,45.0,oddsapi-snapshots-2025
2025-12-21,ten,kc,7.833333333333333,-7.5,3.1296296296296298,-3.5,39.833333333333336,38.0,oddsapi-snapshots-2025
2025-09-14,ten,la,5.333333333333333,-5.333333333333333,5.5,-5.5,45.5,41.0,oddsapi-snapshots-2025
2025-09-21,lac,den,-1.125,1.125,-2.5833333333333335,2.5833333333333335,43.5,45.5,oddsapi-snapshots-2025
2025-12-14,jax,nyj,-9.5,9.884615384615385,-13.5,13.634615384615385,42.666666666666664,40.0,oddsapi-snapshots-2025
2025-11-23,ten,sea,12.666666666666666,-12.666666666666666,12.666666666666666,-12.666666666666666,42.166666666666664,41.5,oddsapi-snapshots-2025
2025-10-19,ari,gb,5.833333333333333,-5.833333333333333,7.0,-7.0,45.166666666666664,44.5,oddsapi-snapshots-2025
2025-12-07,ari,la,9.0,-9.0,9.833333333333334,-9.833333333333334,47.666666666666664,48.666666666666664,oddsapi-snapshots-2025
2025-11-06,den,lv,-10.0,10.0,-9.333333333333334,9.333333333333334,42.5,43.0,oddsapi-snapshots-2025
2025-12-07,tb,no,-7.833333333333333,7.833333333333333,-7.5,7.5,43.0,41.5,oddsapi-snapshots-2025
2025-09-21,chi,dal,-1.5,1.5,1.0,-1.0,46.0,50.0,oddsapi-snapshots-2025
2025-12-20,was,phi,2.5,-5.04,6.5,-7.16,44.833333333333336,43.5,oddsapi-snapshots-2025
2025-10-06,jax,kc,2.6666666666666665,-2.6666666666666665,3.5,-3.5,44.5,45.5,oddsapi-snapshots-2025
2026-01-04,chi,det,-2.5,2.5,-4.5,4.5,49.5,51.5,oddsapi-snapshots-2025
2025-11-23,cin,ne,5.833333333333333,-5.833333333333333,7.166666666666667,-7.166666666666667,49.666666666666664,50.833333333333336,oddsapi-snapshots-2025
2025-12-14,cin,bal,2.5,-2.5,3.0,-3.0,51.5,51.666666666666664,oddsapi-snapshots-2025
2025-09-07,atl,tb,2.0,-2.0,-0.3333333333333333,0.3333333333333333,47.166666666666664,47.166666666666664,oddsapi-snapshots-2025
2025-10-05,ind,lv,-6.5,6.5,-7.333333333333333,7.333333333333333,49.5,48.166666666666664,oddsapi-snapshots-2025
2026-01-18,ne,hou,-2.6666666666666665,2.6666666666666665,-3.5,3.5,41.0,41.0,oddsapi-snapshots-2025
2025-09-14,det,chi,-5.045454545454546,5.333333333333333,-6.545454545454546,6.166666666666667,48.5,46.5,oddsapi-snapshots-2025
2025-10-05,no,nyg,1.6666666666666667,-1.6666666666666667,-2.3333333333333335,2.3333333333333335,43.5,42.0,oddsapi-snapshots-2025
2025-09-21,sf,ari,-2.1666666666666665,2.1666666666666665,-1.8333333333333333,1.8333333333333333,42.5,44.5,oddsapi-snapshots-2025
2025-11-09,car,no,-3.5,3.5,-5.5,5.5,41.166666666666664,38.0,oddsapi-snapshots-2025
2025-11-16,min,chi,-2.8333333333333335,2.8333333333333335,-2.6666666666666665,2.6666666666666665,46.333333333333336,48.0,oddsapi-snapshots-2025
2025-11-02,pit,ind,2.6666666666666665,-2.6666666666666665,3.0,-3.0,49.0,52.166666666666664,oddsapi-snapshots-2025
2025-12-21,cle,buf,9.296296296296296,-9.296296296296296,10.425925925925926,-10.425925925925926,41.666666666666664,41.0,oddsapi-snapshots-2025
2025-11-16,mia,was,0.3333333333333333,-0.3333333333333333,-2.5,2.5,47.0,47.0,oddsapi-snapshots-2025
2026-01-04,hou,ind,-10.0,10.0,-9.833333333333334,9.833333333333334,40.0,37.666666666666664,oddsapi-snapshots-2025
2025-11-09,sf,la,3.5,-3.5,5.666666666666667,-5.666666666666667,49.0,49.5,oddsapi-snapshots-2025
2026-01-11,chi,gb,-1.0,1.0,1.5,-1.5,46.666666666666664,45.666666666666664,oddsapi-snapshots-2025
2025-11-23,lv,cle,-2.5,2.5,-3.5,3.5,37.0,36.0,oddsapi-snapshots-2025
2025-12-25,kc,den,8.0,-8.0,13.666666666666666,-13.666666666666666,38.833333333333336,38.0,oddsapi-snapshots-2025
2025-12-25,min,det,3.8333333333333335,-3.8333333333333335,7.166666666666667,-7.166666666666667,47.833333333333336,44.333333333333336,oddsapi-snapshots-2025
2025-12-22,ind,sf,6.166666666666667,-6.166666666666667,4.5,-4.5,46.0,46.0,oddsapi-snapshots-2025
2025-12-14,den,gb,0.6666666666666666,-0.6666666666666666,1.0,-1.0,41.5,42.666666666666664,oddsapi-snapshots-2025
2026-01-04,la,ari,-8.833333333333334,8.833333333333334,-14.166666666666666,14.166666666666666,46.833333333333336,47.833333333333336,oddsapi-snapshots-2025
2026-01-04,den,lac,-7.5,7.5,-14.166666666666666,14.166666666666666,39.0,37.5,oddsapi-snapshots-2025
2025-09-21,sea,no,-6.5,6.5,-7.5,7.5,40.833333333333336,41.666666666666664,oddsapi-snapshots-2025
2025-10-19,kc,lv,-11.5,11.5,-12.5,12.5,45.666666666666664,45.333333333333336,oddsapi-snapshots-2025
2025-11-13,ne,nyj,-11.333333333333334,11.333333333333334,-13.166666666666666,13.166666666666666,45.666666666666664,42.5,oddsapi-snapshots-2025
2025-10-13,atl,buf,4.0,-5.2,3.5,-3.8,50.166666666666664,49.666666666666664,oddsapi-snapshots-2025
2025-11-09,lac,pit,-4.0,4.0,-3.0,3.0,46.166666666666664,44.5,oddsapi-snapshots-2025
2025-10-26,ne,cle,-7.0,7.0,-7.0,7.0,39.833333333333336,40.5,oddsapi-snapshots-2025
2025-11-30,pit,buf,3.6666666666666665,-3.6666666666666665,3.0,-3.0,47.166666666666664,45.0,oddsapi-snapshots-2025
2025-11-30,cle,sf,6.115384615384615,-4.0,5.211538461538462,-4.5,40.5,35.166666666666664,oddsapi-snapshots-2025
2025-12-28,mia,tb,5.0,-5.0,5.166666666666667,-5.166666666666667,46.5,43.666666666666664,oddsapi-snapshots-2025
2025-09-14,min,atl,-4.666666666666667,4.666666666666667,-3.1666666666666665,3.1666666666666665,45.5,44.5,oddsapi-snapshots-2025
2025-10-13,was,chi,-5.0,5.0,-5.5,5.5,50.5,49.5,oddsapi-snapshots-2025
2025-09-07,jax,car,-3.5,3.5,-4.0,4.0,46.833333333333336,46.0,oddsapi-snapshots-2025
2025-11-09,tb,ne,-2.625,2.625,-2.5625,2.5625,48.0,47.333333333333336,oddsapi-snapshots-2025
2025-12-14,nyg,was,0.5,-0.5,-2.5,2.5,47.0,45.5,oddsapi-snapshots-2025
2025-11-09,chi,nyg,-3.5,3.5,-4.5,4.5,47.166666666666664,44.666666666666664,oddsapi-snapshots-2025
