game_id,season,team,epa_off,sr_off,explosive_off,plays_off,sack_rate_off,qb_hit_rate_off,early_down_epa_off,third_down_sr_off,redzone_epa_off,pass_epa_off,rush_epa_off,epa_def,sr_def,plays_def,sack_rate_def,qb_hit_rate_def
1999_01_DAL_WAS,1999,was,0.13341901306063597,0.4777777777777778,0.08888888888888889,90,0.022222222222222223,0.011111111111111112,0.295923470681633,0.2,-0.32054117332373483,0.30736314729196995,-0.014672676311930463,0.24987260651238424,0.47572815533980584,103,0.009708737864077669,0.009708737864077669
1999_01_DET_SEA,1999,det,0.04419215314227948,0.43529411764705883,0.023529411764705882,85,0.058823529411764705,0.058823529411764705,-0.16694324590847828,0.35714285714285715,0.6719687779152198,-0.12314776272594669,-0.0500491157219971,-0.1980228389900387,0.3611111111111111,72,0.08333333333333333,0.08333333333333333
1999_01_DET_SEA,1999,sea,-0.1980228389900387,0.3611111111111111,0.041666666666666664,72,0.08333333333333333,0.08333333333333333,-0.03664590703556314,0.2,-0.5750131604080342,-0.17282366703585278,-0.4000060756923631,0.04419215314227948,0.43529411764705883,85,0.058823529411764705,0.058823529411764705
1999_01_KC_CHI,1999,,-4.901083406371375,0.0,0.0,3,0.0,0.0,,,,,,,,0,,
1999_01_KC_CHI,1999,chi,-0.09024728311438875,0.4387755102040816,0.05102040816326531,98,0.01020408163265306,0.0,-0.2564650831159919,0.5882352941176471,-0.5548111845010911,-0.08338170921962651,-0.09729935959912836,-0.1514461854181224,0.3764705882352941,85,0.011764705882352941,0.011764705882352941
1999_01_KC_CHI,1999,kc,0.022321029982606346,0.3902439024390244,0.024390243902439025,82,0.012195121951219513,0.012195121951219513,0.20161734260846456,0.3333333333333333,-0.20687846509029484,0.09815212986736783,-0.0212081500228384,-0.09024728311438875,0.4387755102040816,98,0.01020408163265306,0.0
1999_01_MIA_DEN,1999,den,0.0010476084122538667,0.4222222222222222,0.044444444444444446,90,0.022222222222222223,0.011111111111111112,-0.039696043861353385,0.46153846153846156,0.6312478283585525,0.20879466532809265,-0.15834136575876037,0.30324714210078185,0.5857142857142857,70,0.0,0.0
1999_01_MIA_DEN,1999,mia,0.30324714210078185,0.5857142857142857,0.05714285714285714,70,0.0,0.0,0.42357199983772537,0.5555555555555556,0.3392588621795784,0.5679747630712476,0.17102190469267953,0.0010476084122538667,0.4222222222222222,90,0.022222222222222223,0.011111111111111112
1999_01_MIN_ATL,1999,atl,-0.12104891550233612,0.38028169014084506,0.09859154929577464,71,0.028169014084507043,0.014084507042253521,0.0875308070008436,0.45454545454545453,-0.2743289786381034,0.17740248165878983,-0.23185216229176148,-0.06617566222873168,0.37209302325581395,86,0.0,0.0
1999_01_MIN_ATL,1999,min,-0.06617566222873168,0.37209302325581395,0.03488372093023256,86,0.0,0.0,-0.13245602178280835,0.5882352941176471,-0.5427763065592511,0.22119809136006094,-0.279210868749882,-0.12104891550233612,0.38028169014084506,71,0.028169014084507043,0.014084507042253521
1999_01_NE_NYJ,1999,ne,0.03458594036922636,0.4375,0.0625,80,0.025,0.0125,-0.27004395211778776,0.5333333333333333,-0.23085406412294615,0.21322564868881197,-0.2057047554609688,-0.015507769927957434,0.39759036144578314,83,0.04819277108433735,0.03614457831325301
1999_01_NE_NYJ,1999,nyj,-0.015507769927957434,0.39759036144578314,0.04819277108433735,83,0.04819277108433735,0.03614457831325301,-0.16453120128693516,0.5384615384615384,-0.4336363414137869,-0.05102260747132823,-0.03900457080189054,0.03458594036922636,0.4375,80,0.025,0.0125
