"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Galvis, Freddy","520471","---","","SS","6",8,3,6,-2,1,10,-2,"76%","75%","1%"
"Gamel, Ben","592325","Brewers","","LF","2",3,1,2,-1,1,-1,4,"92%","90%","2%"
"Garcia, Aramis","605244","Giants","","1B","0",0,0,0,0,-1,-1,1,"80%","83%","-3%"
"Garcia, Greg","594824","Padres","","2B","-1",-1,1,1,-1,-2,-1,0,"74%","74%","0%"
"García, Avisaíl","541645","Rays","","RF","2",3,0,1,1,1,-1,3,"90%","89%","1%"
"García, Leury","544725","White Sox","","CF","1",1,-1,2,-1,1,2,-1,"82%","82%","0%"
"García, Robel","596825","Cubs","","2B","-1",-1,0,0,0,-1,-1,0,"78%","79%","-1%"
"Gardner, Brett","458731","Yankees","","CF","2",2,-1,1,3,-1,0,2,"87%","86%","1%"
"Garlick, Kyle","664247","Dodgers","","LF","0",0,1,0,-1,0,0,0,"87%","87%","0%"
"Gennett, Scooter","571697","---","","2B","-2",-2,0,-1,0,-1,1,-3,"73%","75%","-2%"
"Gerber, Mike","595222","Giants","","LF","-1",-1,0,-1,0,0,-1,0,"83%","97%","-14%"
"Goins, Ryan","572365","White Sox","","3B","-2",-2,0,0,1,-2,0,-2,"66%","67%","-1%"
"Goldschmidt, Paul","502671","Cardinals","","1B","5",7,4,1,2,1,3,4,"77%","75%","2%"
"Gonzalez, Marwin","503556","Twins","","3B","4",6,1,3,2,0,3,3,"80%","78%","2%"
"González, Carlos","471865","---","","LF","1",1,0,0,0,1,0,1,"94%","93%","1%"
"González, Erik","570481","Pirates","","SS","1",1,-1,0,3,-1,2,-1,"80%","80%","0%"
"Goodrum, Niko","592348","Tigers","","SS","8",11,-2,6,7,-1,10,1,"81%","78%","3%"
"Goodwin, Brian","571718","Angels","","LF","2",2,-1,0,1,2,-1,4,"89%","88%","1%"
"Gordon, Alex","460086","Royals","","LF","-5",-5,-1,-4,0,0,-2,-3,"83%","85%","-2%"
"Gore, Terrance","605253","Royals","","LF","4",4,0,2,1,1,1,3,"94%","82%","12%"
"Gosselin, Phil","594838","Phillies","","SS","-1",-1,-2,1,0,0,-1,0,"70%","76%","-6%"
"Grandal, Yasmani","518735","Brewers","","1B","0",-1,1,0,-1,0,-1,0,"69%","71%","-2%"
"Granderson, Curtis","434158","Marlins","","LF","-2",-2,1,0,-3,0,-3,1,"85%","87%","-2%"
"Green, Zach","608339","Giants","","3B","0",0,0,0,0,0,0,0,"83%","78%","5%"
"Gregorius, Didi","544369","Yankees","","SS","-14",-19,-11,-3,-6,1,-12,-8,"71%","77%","-6%"
"Grichuk, Randal","545341","Blue Jays","","RF","5",6,-1,1,4,2,5,1,"88%","86%","2%"
"Grisham, Trent","663757","Brewers","","CF","3",4,0,3,0,1,3,1,"94%","89%","5%"
"Grossman, Robbie","543257","Athletics","","LF","2",3,1,3,-2,1,0,2,"89%","88%","1%"
"Guerrero Jr., Vladimir","665489","Blue Jays","","3B","-14",-19,-10,-4,-4,0,-10,-10,"63%","70%","-7%"
"Guillorme, Luis","641645","Mets","","SS","0",0,0,0,0,0,1,0,"75%","75%","0%"
"Gurriel Jr., Lourdes","666971","Blue Jays","","LF","-5",-5,0,0,-5,0,-4,-2,"79%","83%","-4%"
"Gurriel, Yuli","493329","Astros","","1B","4",6,4,0,4,-2,-2,8,"74%","72%","2%"
"Gutiérrez, Kelvin","642721","Royals","","3B","0",0,-1,1,0,0,1,-1,"74%","74%","0%"
"Guzmán, Ronald","608597","Rangers","","1B","-3",-4,-3,0,-1,0,-2,-2,"76%","79%","-3%"
"Gyorko, Jedd","576397","---","","3B","4",5,1,2,2,-1,5,1,"78%","69%","9%"
"Gómez, Carlos","460576","Mets","","CF","0",0,0,0,2,-2,2,-2,"89%","89%","0%"
"Haggerty, Sam","664059","Mets","","RF","0",0,0,0,0,0,0,0,"0%","2%","-2%"
"Hamilton, Billy","571740","---","","CF","4",4,-2,1,5,0,3,1,"90%","88%","2%"
"Hampson, Garrett","641658","Rockies","","2B","0",0,1,-2,-2,2,3,-2,"78%","78%","0%"
"Haniger, Mitch","571745","Mariners","","RF","3",3,1,1,1,1,2,1,"91%","89%","2%"
"Hanson, Alen","593700","Blue Jays","","2B","-2",-2,-1,0,-1,0,-2,-1,"71%","79%","-8%"
"Happ, Ian","664023","Cubs","","3B","0",0,0,-1,1,0,-1,1,"78%","79%","-1%"
"Harper, Bryce","547180","Phillies","","RF","-1",-1,3,-3,0,0,1,-2,"86%","86%","0%"
"Harrison, Josh","543281","Tigers","","2B","0",0,0,-1,0,1,2,-2,"75%","75%","0%"
"Haseley, Adam","656514","Phillies","","CF","3",3,-1,1,3,0,3,0,"88%","86%","2%"
"Hays, Austin","669720","Orioles","","CF","1",1,0,0,0,0,1,0,"92%","90%","2%"
"Healy, Ryon","592387","Mariners","","3B","-4",-5,1,-3,-2,-1,-6,0,"64%","68%","-4%"
"Hechavarría, Adeiny","588751","---","","SS","-2",-3,0,0,-2,-1,-3,0,"69%","71%","-2%"
"Heineman, Scott","595981","Rangers","","CF","1",1,0,0,1,0,0,1,"84%","82%","2%"
"Heredia, Guillermo","628338","Rays","","CF","5",5,0,1,5,0,2,3,"91%","87%","4%"
"Hermosillo, Michael","641684","Angels","","LF","3",3,0,1,0,2,2,1,"91%","82%","9%"
"Hernández, César","514917","Phillies","","2B","0",0,-4,0,1,3,5,-6,"76%","76%","0%"
"Hernández, Enrique","571771","Dodgers","","2B","-2",-3,-1,1,-3,0,-3,-1,"82%","83%","-1%"
"Hernández, Gorkys","491676","Red Sox","","RF","0",0,-1,0,0,0,0,0,"89%","90%","-1%"
"Hernández, Marco","593523","Red Sox","","2B","-3",-3,2,-3,-2,0,1,-5,"74%","78%","-4%"
"Hernández, Teoscar","606192","Blue Jays","","CF","-5",-5,-1,-3,0,-1,-3,-3,"88%","89%","-1%"
"Herrera, Odúbel","546318","Phillies","","CF","1",1,-1,1,0,1,1,0,"88%","87%","1%"
"Herrera, Rosell","594011","Marlins","","CF","-2",-2,-1,-2,0,0,-2,0,"81%","85%","-4%"
"Heyward, Jason","518792","Cubs","","CF","8",9,3,4,3,0,10,0,"88%","85%","3%"
"Hicks, Aaron","543305","Yankees","","CF","-2",-2,-1,-1,1,-1,1,-3,"89%","91%","-2%"
"Hicks, John","543308","Tigers","","1B","0",0,1,-2,1,0,0,0,"61%","62%","-1%"
"Hilliard, Sam","656541","Rockies","","CF","-1",-1,0,-1,0,0,-1,0,"89%","91%","-2%"
"Hiura, Keston","669374","Brewers","","2B","-6",-9,-5,-3,-2,1,-5,-4,"71%","74%","-3%"
"Hoerner, Nico","663538","Cubs","","SS","3",4,1,2,0,0,2,2,"70%","66%","4%"
"Holt, Brock","571788","Red Sox","","2B","3",4,4,1,0,-1,1,3,"80%","78%","2%"
"Hoskins, Rhys","656555","Phillies","","1B","1",1,1,-3,2,0,-2,3,"68%","67%","1%"
"Hosmer, Eric","543333","Padres","","1B","-8",-11,0,-8,-2,-1,-6,-4,"71%","74%","-3%"
"Iglesias, Jose","578428","Reds","","SS","10",14,4,5,6,-1,12,1,"76%","73%","3%"
"Inciarte, Ender","542255","Braves","","CF","3",3,-1,2,3,-1,3,1,"92%","90%","2%"
"Jackson, Drew","623515","Orioles","","CF","0",0,0,0,0,0,0,0,"100%","99%","1%"
"Jankowski, Travis","608671","Padres","","CF","0",0,0,0,0,0,0,0,"100%","96%","4%"
"Jay, Jon","445055","White Sox","","RF","-5",-6,-1,-3,-2,0,-4,-2,"77%","85%","-8%"
"Jiménez, Eloy","650391","White Sox","","LF","-10",-11,-4,-5,-1,-1,-4,-7,"83%","88%","-5%"
"Joe, Connor","656582","Giants","","LF","0",0,0,0,0,0,0,0,"78%","74%","4%"
"Jones, Adam","430945","D-backs","","RF","-3",-4,0,-1,-4,1,-2,-2,"83%","85%","-2%"
"Jones, JaCoby","592444","Tigers","","CF","1",1,-1,1,0,1,2,-1,"87%","86%","1%"
"Joseph, Corban","543377","---","","2B","-3",-4,-2,0,-3,0,-1,-3,"67%","76%","-9%"
"Joyce, Matt","459964","Braves","","RF","-1",-1,-2,0,1,0,-1,0,"78%","80%","-2%"
"Judge, Aaron","592450","Yankees","","RF","8",9,-1,1,5,3,6,3,"91%","87%","4%"
"Kang, Jung Ho","628356","Pirates","","3B","-2",-2,0,0,-1,-1,-3,1,"64%","65%","-1%"
"Kemp, Matt","461314","Reds","","LF","-1",-1,-1,0,1,-1,-1,0,"68%","73%","-5%"
