"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Andujar, Miguel","609280","Yankees","","3B","-3",-3,-1,-2,-1,0,-3,-1,"44%","57%","-13%"
"Apostel, Sherten","665947","Rangers","","1B","-2",-3,-2,-1,-1,0,-1,-1,"55%","70%","-15%"
"Aquino, Aristides","606157","Reds","","LF","0",0,0,0,0,0,0,0,"92%","90%","2%"
"Araúz, Jonathan","660620","Red Sox","","2B","-3",-4,-1,-3,0,0,-1,-3,"67%","72%","-5%"
"Arcia, Orlando","606115","Brewers","","SS","1",1,1,0,1,-1,1,0,"71%","70%","1%"
"Arenado, Nolan","571448","Rockies","","3B","5",6,1,0,3,1,6,0,"76%","73%","3%"
"Arozarena, Randy","668227","Rays","","LF","-2",-2,-1,0,-1,0,0,-2,"78%","82%","-4%"
"Arraez, Luis","650333","Twins","","2B","-2",-3,-2,-2,0,1,0,-3,"77%","79%","-2%"
"Arroyo, Christian","624414","Red Sox","","2B","-2",-2,-1,-1,-1,0,-3,1,"72%","76%","-4%"
"Bader, Harrison","664056","Cardinals","","CF","3",3,1,2,-1,0,2,1,"92%","89%","3%"
"Barnhart, Tucker","571466","Reds","","1B","0",0,0,0,0,0,0,0,"100%","86%","14%"
"Barrero, José","676480","Reds","","SS","0",1,0,2,0,-1,1,0,"73%","72%","1%"
"Barreto, Franklin","620439","---","","2B","0",-1,0,0,-1,0,-1,0,"83%","85%","-2%"
"Basabe, Luis Alexander","642772","Giants","","RF","1",1,0,0,1,0,1,0,"92%","84%","8%"
"Beaty, Matt","607461","Dodgers","","1B","-1",-1,0,-1,0,0,0,0,"56%","60%","-4%"
"Bell, Josh","605137","Pirates","","1B","-2",-3,0,-4,1,1,-1,-1,"71%","74%","-3%"
"Bellinger, Cody","641355","Dodgers","","CF","8",10,1,4,4,1,5,5,"90%","85%","5%"
"Belt, Brandon","474832","Giants","","1B","0",0,1,-3,1,0,-2,2,"79%","79%","0%"
"Benintendi, Andrew","643217","Red Sox","","LF","1",1,1,0,0,0,0,1,"87%","84%","3%"
"Berti, Jon","542932","Marlins","","2B","-2",-2,0,-1,-2,0,-3,1,"81%","83%","-2%"
"Betts, Mookie","605141","Dodgers","","RF","4",4,0,2,1,2,3,1,"92%","90%","2%"
"Bichette, Bo","666182","Blue Jays","","SS","1",1,1,-1,1,0,1,0,"76%","75%","1%"
"Biggio, Cavan","624415","Blue Jays","","2B","-2",-2,-2,1,0,-1,-4,1,"79%","80%","-1%"
"Bishop, Braden","623323","Mariners","","RF","0",0,0,0,0,0,0,0,"95%","93%","2%"
"Blackmon, Charlie","453568","Rockies","","RF","-1",-1,1,0,-2,0,0,-1,"89%","90%","-1%"
"Blankenhorn, Travis","663905","Twins","","2B","0",0,0,0,0,0,0,0,"0%","3%","-3%"
"Bogaerts, Xander","593428","Red Sox","","SS","-2",-3,0,-1,-3,1,-3,0,"67%","69%","-2%"
"Bohm, Alec","664761","Phillies","","3B","0",0,0,0,-1,0,-1,0,"70%","70%","0%"
"Bonifacio, Jorge","593528","Tigers","","LF","0",0,0,-1,0,0,0,-1,"89%","90%","-1%"
"Bonifácio, Emilio","466988","Nationals","","LF","0",0,0,0,0,0,0,0,"100%","95%","5%"
"Bote, David","623520","Cubs","","3B","-3",-4,0,-1,-2,0,-3,-1,"68%","72%","-4%"
"Bradley Jr., Jackie","598265","Red Sox","","CF","6",6,1,4,3,-1,4,3,"92%","87%","5%"
"Brantley, Michael","488726","Astros","","LF","1",1,0,0,1,0,1,0,"88%","86%","2%"
"Braun, Ryan","460075","Brewers","","RF","0",-1,0,0,-1,0,0,0,"82%","83%","-1%"
"Bregman, Alex","608324","Astros","","3B","1",1,2,2,-3,0,1,0,"71%","71%","0%"
"Brinson, Lewis","621446","Marlins","","RF","-1",-1,0,-3,1,1,-1,0,"86%","87%","-1%"
"Brosseau, Mike","670712","Rays","","3B","3",4,1,2,1,0,4,0,"76%","72%","4%"
"Brown, Seth","664913","Athletics","","1B","0",0,0,0,0,0,0,0,"100%","86%","14%"
"Bruce, Jay","457803","Phillies","","LF","0",0,0,1,-1,0,1,0,"97%","96%","1%"
"Bryant, Kris","592178","Cubs","","3B","-2",-3,-2,0,-1,0,0,-3,"71%","74%","-3%"
"Butera, Drew","460077","Rockies","","1B","0",0,0,0,0,0,0,0,"0%","0%","0%"
"Buxton, Byron","621439","Twins","","CF","4",4,0,1,3,0,0,4,"95%","91%","4%"
"Báez, Javier","595879","Cubs","","SS","7",9,5,1,3,0,5,3,"81%","77%","4%"
"Cabrera, Asdrúbal","452678","Nationals","","3B","2",3,1,-1,2,0,3,0,"73%","69%","4%"
"Cain, Lorenzo","456715","Brewers","","CF","1",1,0,0,0,0,1,0,"92%","87%","5%"
"Calhoun, Kole","594777","D-backs","","RF","-1",-2,0,-2,-1,1,0,-2,"90%","92%","-2%"
"Calhoun, Willie","641432","Rangers","","LF","-1",-2,0,0,-1,-1,-1,0,"79%","90%","-11%"
"Camargo, Johan","622666","Braves","","2B","3",4,1,2,1,0,2,2,"79%","75%","4%"
"Cameron, Daz","663662","Tigers","","RF","1",1,0,0,1,1,2,-1,"88%","85%","3%"
"Candelario, Jeimer","600869","Tigers","","1B","2",3,1,2,0,1,1,2,"74%","72%","2%"
"Canha, Mark","592192","Athletics","","RF","1",1,-1,1,0,1,1,0,"89%","88%","1%"
"Canó, Robinson","429664","Mets","","2B","2",2,2,0,0,-1,2,1,"74%","72%","2%"
"Caratini, Victor","605170","Cubs","","1B","0",0,0,0,0,0,0,0,"100%","88%","12%"
"Carlson, Dylan","666185","Cardinals","","CF","0",0,0,0,0,0,0,0,"90%","90%","0%"
"Carpenter, Matt","572761","Cardinals","","3B","2",2,2,0,-1,0,2,0,"78%","76%","2%"
"Castellanos, Nick","592206","Reds","","RF","-4",-4,-1,-3,-1,1,-3,-2,"83%","87%","-4%"
"Castro, Harold","605612","Tigers","","RF","-1",-1,0,0,-1,0,0,-1,"80%","82%","-2%"
"Castro, Starlin","516770","Nationals","","2B","0",-1,2,-1,-2,1,1,-1,"76%","77%","-1%"
"Castro, Willi","650489","Tigers","","SS","-3",-3,-1,-4,1,0,-4,1,"68%","70%","-2%"
"Cave, Jake","595909","Twins","","CF","2",3,1,1,1,0,3,0,"92%","87%","5%"
"Chang, Yu","644374","Guardians","","2B","1",2,1,1,0,0,1,0,"87%","77%","10%"
"Chapman, Matt","656305","Athletics","","3B","1",1,2,0,-1,0,1,1,"68%","67%","1%"
"Chavis, Michael","656308","Red Sox","","1B","-3",-4,0,-1,-1,-2,-3,-1,"66%","70%","-4%"
"Chisholm Jr., Jazz","665862","Marlins","","2B","-1",-1,1,-2,-1,0,-1,0,"70%","72%","-2%"
"Choi, Ji Man","596847","Rays","","1B","-2",-3,0,-3,-1,0,0,-4,"70%","74%","-4%"
"Choo, Shin-Soo","425783","Rangers","","LF","-2",-2,0,0,-1,-1,0,-1,"87%","91%","-4%"
"Colón, Christian","518568","Reds","","2B","0",0,0,0,-1,0,0,0,"77%","81%","-4%"
"Conforto, Michael","624424","Mets","","RF","-3",-3,0,0,-3,-1,-4,1,"82%","84%","-2%"
"Cooper, Garrett","643265","Marlins","","1B","-3",-4,0,-2,-2,0,-1,-3,"66%","74%","-8%"
"Cordell, Ryan","641477","Mets","","CF","0",0,0,0,0,0,0,0,"100%","92%","8%"
"Cordero, Franchy","614173","Royals","","CF","0",0,1,0,0,-1,0,0,"75%","74%","1%"
"Correa, Carlos","621043","Astros","","SS","3",4,4,1,-1,1,0,4,"79%","77%","2%"
"Crawford, Brandon","543063","Giants","","SS","6",8,3,3,0,2,4,4,"78%","74%","4%"
"Crawford, J.P.","641487","Mariners","","SS","5",6,6,3,-1,-1,5,1,"82%","79%","3%"
"Cron, C.J.","543068","Tigers","","1B","0",0,0,0,0,-1,1,-1,"76%","76%","0%"
"Cronenworth, Jake","630105","Padres","","2B","5",6,2,1,1,1,2,4,"75%","71%","4%"
"Culberson, Charlie","518586","Braves","","2B","0",0,0,0,0,0,0,0,"100%","99%","1%"
"Cuthbert, Cheslor","596144","White Sox","","3B","0",0,0,0,0,0,0,0,"100%","99%","1%"
"Dahl, David","621311","Rockies","","CF","-1",-1,0,-3,1,0,0,-1,"82%","84%","-2%"
"Dalbec, Bobby","666915","Red Sox","","1B","1",1,0,0,0,0,0,1,"78%","77%","1%"
"Davidson, Matt","571602","Reds","","1B","-1",-1,0,-1,0,0,0,-1,"50%","83%","-33%"
"Davis, Chris","448801","Orioles","","1B","-1",-1,0,0,-1,0,-2,1,"69%","73%","-4%"
"Davis, J.D.","605204","Mets","","3B","-5",-6,0,-1,-4,0,-3,-3,"62%","68%","-6%"
"Davis, Jaylin","664041","Giants","","RF","0",0,0,0,0,0,0,0,"73%","74%","-1%"
"Davis, Jonathan","641505","Blue Jays","","CF","0",0,0,-1,0,0,0,0,"95%","97%","-2%"
"DeJong, Paul","657557","Cardinals","","SS","-3",-4,-2,-2,-1,0,-2,-2,"77%","79%","-2%"
"DeShields, Delino","592261","Guardians","","CF","0",0,1,0,0,-1,1,-1,"89%","89%","0%"
"Dean, Austin","621573","Cardinals","","LF","-1",-1,0,0,0,-1,-1,0,"67%","99%","-32%"
"Delmonico, Nicky","547170","White Sox","","RF","0",0,0,0,0,0,0,0,"90%","88%","2%"
"Demeritte, Travis","641513","Tigers","","RF","0",0,1,-1,1,0,0,0,"86%","85%","1%"
"Devers, Rafael","646240","Red Sox","","3B","-3",-4,-2,0,-2,0,-3,-1,"60%","62%","-2%"
"Dickerson, Alex","543105","Giants","","LF","-3",-3,0,-2,1,-2,-1,-2,"81%","85%","-4%"
"Dickerson, Corey","572816","Marlins","","LF","-1",-1,0,0,0,0,-1,-1,"84%","85%","-1%"
"Dietrich, Derek","518618","Rangers","","1B","-1",-1,0,-2,0,0,0,-1,"61%","68%","-7%"
"Difo, Wilmer","594694","Nationals","","SS","-1",-1,-1,0,0,0,0,-1,"58%","65%","-7%"
"Dixon, Brandon","641525","Tigers","","1B","0",-1,-1,0,0,0,0,0,"75%","83%","-8%"
"Donaldson, Josh","518626","Twins","","3B","0",1,1,0,0,0,-1,1,"68%","67%","1%"
"Dozier, Brian","572821","Mets","","2B","0",0,-1,1,0,0,-1,1,"73%","72%","1%"
"Dozier, Hunter","641531","Royals","","1B","-1",-1,0,-1,0,0,0,0,"80%","81%","-1%"
"Drury, Brandon","592273","Blue Jays","","3B","0",0,2,0,-1,0,1,-1,"62%","62%","0%"
"Dubón, Mauricio","643289","Giants","","CF","3",4,-1,4,2,-1,-1,5,"90%","88%","2%"
"Duggar, Steven","621453","Giants","","LF","0",0,0,-1,0,0,-1,1,"92%","93%","-1%"
"Duvall, Adam","594807","Braves","","LF","1",1,-1,1,1,0,2,0,"86%","84%","2%"
"Dyson, Jarrod","502481","---","","CF","2",2,0,1,1,0,2,0,"82%","79%","3%"
"Díaz, Aledmys","649557","Astros","","2B","-1",-2,-1,0,0,0,-1,-1,"71%","75%","-4%"
"Díaz, Isan","656371","Marlins","","2B","0",0,0,0,0,0,1,0,"79%","78%","1%"
"Díaz, Lewin","650331","Marlins","","1B","1",1,1,1,-1,0,1,1,"85%","79%","6%"
"Díaz, Yandy","650490","Rays","","3B","-2",-3,0,-1,-2,0,-4,0,"68%","72%","-4%"
"Eaton, Adam","594809","Nationals","","RF","-1",-1,1,-1,-1,0,1,-2,"82%","83%","-1%"
"Edman, Tommy","669242","Cardinals","","3B","3",3,0,0,3,1,1,2,"77%","75%","2%"
"Engel, Adam","641553","White Sox","","RF","3",3,1,1,1,0,1,2,"93%","87%","6%"
"Ervin, Phillip","640447","---","","RF","2",2,2,0,1,0,1,1,"92%","87%","5%"
"Escobar, Eduardo","500871","D-backs","","3B","1",1,-1,2,-1,1,-1,2,"75%","74%","1%"
"Espinal, Santiago","669289","Blue Jays","","SS","2",3,2,0,1,0,2,1,"75%","71%","4%"
"Estrada, Thairo","642731","Yankees","","2B","0",-1,0,0,1,-1,-2,1,"80%","82%","-2%"
"Evans, Phillip","595943","Pirates","","3B","-1",-1,0,-1,0,0,0,-1,"59%","63%","-4%"
"Farmer, Kyle","571657","Reds","","SS","1",2,0,1,1,0,1,1,"80%","77%","3%"
"Fisher, Derek","605233","Blue Jays","","RF","-2",-2,-1,-1,0,-1,-2,0,"60%","72%","-12%"
"Fletcher, David","664058","Angels","","SS","-1",-1,1,1,-3,0,-2,2,"76%","76%","0%"
"Flores, Wilmer","527038","Giants","","2B","1",2,0,1,1,0,-1,3,"71%","69%","2%"
"Florial, Estevan","664314","Yankees","","CF","0",0,0,0,0,0,0,0,"100%","99%","1%"
"Ford, Mike","645801","Yankees","","1B","-1",-2,0,-1,-1,0,-1,0,"57%","65%","-8%"
"Forsythe, Logan","523253","Marlins","","2B","0",0,-1,0,1,0,0,0,"73%","72%","1%"
"Fowler, Dexter","451594","Cardinals","","RF","0",0,-1,0,0,0,0,0,"84%","85%","-1%"
"Fraley, Jake","641584","Mariners","","RF","0",0,0,0,-1,0,-1,0,"95%","97%","-2%"
"France, Ty","664034","---","","3B","-1",-1,-1,0,0,0,-1,0,"77%","79%","-2%"
"Franco, Maikel","596748","Royals","","3B","-1",-1,2,-5,1,0,-2,2,"72%","73%","-1%"
"Frazier, Adam","624428","Pirates","","2B","4",6,1,2,2,1,2,3,"82%","79%","3%"
"Frazier, Clint","640449","Yankees","","RF","1",1,0,0,1,0,0,0,"89%","88%","1%"
"Frazier, Todd","453943","---","","3B","-1",-1,-1,0,0,0,0,-1,"69%","70%","-1%"
"Freeman, Freddie","518692","Braves","","1B","1",1,0,1,0,0,1,0,"71%","70%","1%"
"Freeman, Mike","502273","Guardians","","3B","0",0,0,-1,0,1,1,0,"79%","78%","1%"
"Fuentes, Joshua","658069","Rockies","","1B","4",5,1,3,1,1,2,3,"79%","73%","6%"
"Gallo, Joey","608336","Rangers","","RF","3",3,1,1,1,0,1,2,"89%","87%","2%"
"Galvis, Freddy","520471","Reds","","SS","-3",-5,-1,-1,-2,0,-2,-2,"73%","77%","-4%"
"Gamel, Ben","592325","Brewers","","RF","0",0,0,0,0,0,1,-1,"90%","90%","0%"
"Garcia, Greg","594824","Padres","","2B","1",1,0,1,1,0,1,1,"73%","70%","3%"
"García Jr., Luis","671277","Nationals","","2B","-5",-7,-3,-1,-2,-1,-4,-2,"65%","71%","-6%"
"García, Adolis","666969","Rangers","","LF","0",0,0,0,0,0,0,0,"100%","95%","5%"
"García, Avisaíl","541645","Brewers","","CF","0",1,0,1,-1,1,0,0,"86%","86%","0%"
"García, Leury","544725","White Sox","","SS","1",1,0,2,-1,0,-1,2,"69%","67%","2%"
"Gardner, Brett","458731","Yankees","","LF","0",0,-1,0,1,0,-1,0,"85%","85%","0%"
"Garlick, Kyle","664247","Phillies","","RF","-1",-1,0,0,-1,0,0,-1,"40%","66%","-26%"
"Garver, Mitch","641598","Twins","","1B","0",0,0,0,0,0,0,0,"100%","98%","2%"
"Giménez, Andrés","665926","Mets","","SS","5",7,3,2,1,0,4,2,"77%","71%","6%"
"Goins, Ryan","572365","White Sox","","3B","-1",-1,0,-2,0,0,-1,-1,"70%","84%","-14%"
"Goldschmidt, Paul","502671","Cardinals","","1B","3",4,2,0,1,1,1,2,"78%","75%","3%"
"Gonzalez, Marwin","503556","Twins","","3B","3",4,3,2,-2,2,2,2,"75%","72%","3%"
"González, Erik","570481","Pirates","","SS","1",2,0,3,-1,1,2,0,"71%","69%","2%"
"González, Luis","670768","White Sox","","CF","-1",-1,0,0,0,-1,-1,0,"0%","79%","-79%"
"Goodrum, Niko","592348","Tigers","","SS","5",6,3,0,3,0,3,3,"79%","75%","4%"
"Goodwin, Brian","571718","---","","CF","-3",-3,-1,0,0,-1,-4,1,"82%","85%","-3%"
"Gordon, Alex","460086","Royals","","LF","-1",-1,0,-1,-1,0,-3,1,"89%","90%","-1%"
"Gosselin, Phil","594838","Phillies","","1B","0",0,0,1,0,0,0,0,"74%","73%","1%"
"Grandal, Yasmani","518735","White Sox","","1B","0",0,0,0,0,0,0,-1,"85%","86%","-1%"
"Gregorius, Didi","544369","Phillies","","SS","-6",-8,-5,0,-3,0,-6,-2,"73%","77%","-4%"
"Grichuk, Randal","545341","Blue Jays","","CF","1",1,-1,1,0,1,1,0,"88%","87%","1%"
"Grisham, Trent","663757","Padres","","CF","6",7,1,2,4,0,5,2,"95%","90%","5%"
"Grossman, Robbie","543257","Athletics","","LF","3",3,-1,1,0,2,2,1,"86%","83%","3%"
"Guerrero Jr., Vladimir","665489","Blue Jays","","1B","-2",-2,0,-1,-2,0,0,-2,"69%","71%","-2%"
"Guillorme, Luis","641645","Mets","","2B","3",3,1,2,1,0,3,1,"78%","72%","6%"
"Gurriel Jr., Lourdes","666971","Blue Jays","","LF","-1",-1,0,-2,1,-1,1,-2,"88%","89%","-1%"
"Gurriel, Yuli","493329","Astros","","1B","3",4,1,0,2,1,1,3,"80%","78%","2%"
"Gutiérrez, Kelvin","642721","Royals","","3B","0",0,0,0,0,0,0,0,"56%","52%","4%"
"Guzmán, Ronald","608597","Rangers","","1B","1",1,0,1,1,0,0,2,"72%","69%","3%"
"Gyorko, Jedd","576397","Brewers","","1B","2",2,2,-1,1,0,2,1,"75%","71%","4%"
"Haggerty, Sam","664059","Mariners","","LF","-1",-1,1,0,-2,0,-1,-1,"88%","92%","-4%"
"Hamilton, Billy","571740","---","","CF","2",2,0,1,1,0,2,0,"100%","89%","11%"
"Hampson, Garrett","641658","Rockies","","2B","2",2,0,1,0,1,-1,3,"78%","77%","1%"
"Happ, Ian","664023","Cubs","","CF","0",0,1,0,0,-1,1,-1,"86%","86%","0%"
"Harper, Bryce","547180","Phillies","","RF","0",0,0,0,0,0,2,-1,"89%","89%","0%"
"Harrison, Josh","543281","Nationals","","2B","0",0,0,-2,1,1,1,-1,"76%","76%","0%"
"Harrison, Monte","656509","Marlins","","CF","1",1,1,0,0,0,2,-1,"92%","90%","2%"
"Haseley, Adam","656514","Phillies","","CF","-2",-3,0,0,0,-2,-1,-2,"84%","90%","-6%"
"Hayes, Ke'Bryan","663647","Pirates","","3B","3",4,1,0,3,0,3,0,"78%","73%","5%"
"Hays, Austin","669720","Orioles","","CF","0",1,0,1,1,-1,1,0,"86%","85%","1%"
"Healy, Ryon","592387","Brewers","","1B","0",0,0,0,0,0,0,0,"100%","98%","2%"
"Heath, Nick","670084","Royals","","CF","0",0,0,1,0,0,0,0,"88%","81%","7%"
"Hechavarría, Adeiny","588751","Braves","","2B","-1",-1,1,-1,-1,0,-1,0,"69%","70%","-1%"
"Heineman, Scott","595981","Rangers","","CF","1",1,0,1,0,0,1,0,"91%","88%","3%"
"Heredia, Guillermo","628338","---","","CF","2",2,1,1,0,0,1,1,"93%","87%","6%"
"Hermosillo, Michael","641684","Angels","","LF","0",0,-1,0,0,0,0,0,"93%","95%","-2%"
"Hernandez, Yadiel","628450","Nationals","","RF","0",0,0,0,0,0,0,0,"67%","69%","-2%"
"Hernández, César","514917","Guardians","","2B","3",3,0,2,4,-2,-2,6,"78%","76%","2%"
"Hernández, Enrique","571771","Dodgers","","2B","1",1,-1,2,-1,1,0,1,"79%","79%","0%"
"Hernández, Teoscar","606192","Blue Jays","","RF","-2",-2,-1,-2,-1,1,-1,-1,"80%","82%","-2%"
"Herrera, Dilson","599096","Orioles","","1B","0",0,0,0,0,0,0,0,"100%","97%","3%"
"Heyward, Jason","518792","Cubs","","RF","1",1,0,-1,1,1,0,1,"89%","89%","0%"
"Hicks, Aaron","543305","Yankees","","CF","-4",-4,-1,0,-3,-1,-3,-1,"85%","88%","-3%"
"Hill, Derek","656537","Tigers","","CF","0",0,0,0,0,0,0,0,"90%","87%","3%"
"Hilliard, Sam","656541","Rockies","","LF","0",0,0,1,-1,0,2,-2,"86%","86%","0%"
"Hiura, Keston","669374","Brewers","","2B","-1",-2,-4,1,1,1,-1,-1,"76%","77%","-1%"
"Hoerner, Nico","663538","Cubs","","2B","5",7,2,3,1,0,3,4,"76%","71%","5%"
"Holaday, Bryan","592407","Orioles","","1B","0",0,0,0,0,0,0,0,"100%","87%","13%"
"Holt, Brock","571788","---","","3B","-1",-1,-2,1,-1,1,-1,-1,"75%","78%","-3%"
"Hoskins, Rhys","656555","Phillies","","1B","-4",-5,0,-4,-1,-1,-4,-1,"60%","65%","-5%"
"Hosmer, Eric","543333","Padres","","1B","-2",-2,-1,-1,-1,0,-2,0,"63%","66%","-3%"
"Iglesias, Jose","578428","Orioles","","SS","2",3,1,2,0,0,1,2,"73%","68%","5%"
"Inciarte, Ender","542255","Braves","","CF","-1",-1,-1,2,0,-1,0,0,"83%","84%","-1%"
"Jankowski, Travis","608671","Reds","","CF","0",0,0,0,0,0,0,0,"92%","88%","4%"
"Jay, Jon","445055","D-backs","","CF","0",0,0,0,0,0,0,0,"84%","84%","0%"
"Jiménez, Eloy","650391","White Sox","","LF","-3",-3,-1,-3,-1,1,0,-3,"84%","88%","-4%"
"Johnson, Daniel","669288","Guardians","","RF","0",0,0,0,0,0,0,0,"100%","96%","4%"
"Jones, JaCoby","592444","Tigers","","CF","1",1,0,0,1,0,0,0,"88%","87%","1%"
"Jones, Jahmai","663330","Angels","","2B","-1",-1,0,-1,0,0,-1,0,"57%","68%","-11%"
"Jones, Taylor","622100","Astros","","1B","-1",-2,0,-1,-1,0,0,-2,"0%","53%","-53%"
"Joyce, Matt","459964","Marlins","","RF","-3",-3,0,0,0,-2,0,-3,"77%","82%","-5%"
"Judge, Aaron","592450","Yankees","","RF","1",1,1,-1,1,0,1,0,"90%","88%","2%"
"Kemp, Matt","461314","Rockies","","LF","0",0,0,0,0,0,0,0,"100%","85%","15%"
"Kemp, Tony","643393","Athletics","","2B","1",1,1,1,-1,0,-1,2,"73%","73%","0%"
"Kendrick, Howie","435062","Nationals","","1B","0",0,0,0,0,-1,-1,0,"73%","76%","-3%"
"Kepler, Max","596146","Twins","","RF","1",1,0,0,1,0,-1,1,"81%","80%","1%"
"Kieboom, Carter","666198","Nationals","","3B","0",0,-2,3,-1,0,-2,1,"74%","74%","0%"
"Kiermaier, Kevin","595281","Rays","","CF","5",5,0,1,4,0,4,1,"89%","85%","4%"
"Kiner-Falefa, Isiah","643396","Rangers","","3B","4",5,2,0,2,1,5,0,"76%","74%","2%"
"Kingery, Scott","664068","Phillies","","2B","-3",-4,-1,-1,-2,0,-4,-1,"67%","72%","-5%"
"Kipnis, Jason","543401","Cubs","","2B","-3",-4,-2,-1,-1,-1,-4,0,"70%","74%","-4%"
"Kirilloff, Alex","666135","Twins","","RF","0",0,0,0,0,0,0,0,"100%","93%","7%"
"Knapp, Andrew","595284","Phillies","","1B","0",0,0,0,0,0,0,0,"50%","49%","1%"
"Kratz, Erik","456124","Yankees","","1B","0",0,0,0,0,0,0,0,"67%","62%","5%"
"La Stella, Tommy","600303","---","","2B","-3",-4,-2,0,0,-1,-4,0,"65%","67%","-2%"
"Lagares, Juan","501571","Mets","","CF","0",0,0,0,0,0,0,0,"100%","91%","9%"
"Lamb, Jake","571875","---","","3B","-1",-2,1,0,-2,0,-2,0,"65%","67%","-2%"
"Laureano, Ramón","657656","Athletics","","CF","2",2,0,1,0,1,2,0,"92%","91%","1%"
"LeMahieu, DJ","518934","Yankees","","2B","-2",-3,-1,-2,0,0,-4,1,"72%","74%","-2%"
"Lewis, Kyle","641786","Mariners","","CF","3",4,-1,2,2,1,3,1,"93%","90%","3%"
"Lin, Tzu-Wei","624407","Red Sox","","SS","0",-1,-2,0,0,0,-1,0,"84%","85%","-1%"
"Lindor, Francisco","596019","Guardians","","SS","5",7,5,1,0,1,4,2,"75%","72%","3%"
"Locastro, Tim","641796","D-backs","","CF","3",3,1,2,1,0,2,1,"91%","85%","6%"
"Long Jr., Shed","643418","Mariners","","2B","-3",-3,1,-3,-2,0,-2,-2,"76%","79%","-3%"
"Longoria, Evan","446334","Giants","","3B","4",5,2,1,2,0,4,1,"76%","72%","4%"
"Lopes, Tim","621005","Mariners","","LF","-4",-4,-2,-1,0,-1,-1,-3,"77%","85%","-8%"
"Lopez, Nicky","670032","Royals","","2B","5",7,3,6,-1,-1,2,5,"75%","71%","4%"
"Lorenzen, Michael","547179","Reds","","CF","0",0,0,0,0,0,0,0,"50%","48%","2%"
"Lowe, Brandon","664040","Rays","","2B","0",0,1,-1,0,0,0,0,"73%","73%","0%"
"Lowe, Nathaniel","663993","Rays","","1B","0",0,1,-1,0,0,1,0,"67%","65%","2%"
"Lugo, Dawel","608475","Tigers","","3B","0",0,0,1,0,0,0,0,"64%","65%","-1%"
"Luplow, Jordan","656669","Guardians","","LF","-1",-1,0,0,0,-1,-1,-1,"80%","82%","-2%"
"Lux, Gavin","666158","Dodgers","","2B","1",1,0,1,0,0,2,-1,"82%","81%","1%"
