"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Castro, Starlin","516770","Nationals","","3B","0",0,2,2,-3,0,-3,3,"72%","72%","0%"
"Castro, Willi","650489","Tigers","","2B","0",0,-2,3,-2,1,2,-2,"76%","76%","0%"
"Cave, Jake","595909","Twins","","CF","0",0,0,0,0,0,0,0,"85%","85%","0%"
"Celestino, Gilberto","665482","Twins","","CF","-2",-2,-1,-1,1,0,-1,-1,"82%","85%","-3%"
"Chang, Yu","644374","Guardians","","1B","3",4,0,1,3,0,4,1,"74%","71%","3%"
"Chapman, Matt","656305","Athletics","","3B","13",17,11,-1,5,2,12,5,"73%","70%","3%"
"Chavis, Michael","656308","---","","2B","2",3,0,2,-1,1,1,1,"78%","75%","3%"
"Chisholm Jr., Jazz","665862","Marlins","","2B","-2",-3,0,-3,-3,2,-4,1,"77%","77%","0%"
"Choi, Ji Man","596847","Rays","","1B","0",0,1,-1,1,-2,-2,2,"67%","67%","0%"
"Clement, Ernie","676391","Guardians","","2B","3",4,1,0,2,0,1,3,"74%","71%","3%"
"Conforto, Michael","624424","Mets","","RF","1",1,1,-1,1,1,4,-3,"88%","87%","1%"
"Contreras, Willson","575929","Cubs","","3B","0",0,0,0,0,0,0,0,"0%","0%","0%"
"Cooper, Garrett","643265","Marlins","","RF","-3",-3,1,1,-2,-2,-2,0,"80%","82%","-2%"
"Cordero, Franchy","614173","Red Sox","","LF","0",0,1,-1,-1,0,0,0,"79%","80%","-1%"
"Correa, Carlos","621043","Astros","","SS","7",10,5,4,1,0,3,6,"78%","77%","1%"
"Craig, Will","643269","Pirates","","1B","-2",-2,-1,-2,0,0,0,-2,"64%","70%","-6%"
"Crawford, Brandon","543063","Giants","","SS","12",15,4,9,2,1,12,3,"74%","71%","3%"
"Crawford, J.P.","641487","Mariners","","SS","0",0,4,-4,0,0,4,-4,"76%","76%","0%"
"Cron, C.J.","543068","Rockies","","1B","0",0,2,-2,0,-1,1,-1,"73%","73%","0%"
"Cronenworth, Jake","630105","Padres","","2B","1",1,0,5,-5,1,3,-2,"75%","74%","1%"
"Cruz, Nelson","443558","Rays","","1B","0",0,0,0,0,0,0,0,"100%","88%","12%"
"Cruz, Oneil","665833","Pirates","","SS","0",0,-1,0,0,0,0,-1,"75%","86%","-11%"
"Culberson, Charlie","518586","Rangers","","3B","2",3,0,0,2,1,4,-1,"75%","74%","1%"
"Dahl, David","621311","Rangers","","LF","-1",-1,1,-1,-3,2,-1,0,"82%","84%","-2%"
"Dalbec, Bobby","666915","Red Sox","","1B","-5",-7,-3,-5,-1,1,-4,-3,"68%","71%","-3%"
"Davis, J.D.","605204","Mets","","3B","-1",-2,0,0,-2,0,-3,1,"67%","68%","-1%"
"Davis, Jaylin","664041","Giants","","RF","0",0,0,0,0,0,0,0,"100%","93%","7%"
"Davis, Jonathan","641505","---","","CF","1",1,-1,1,2,0,1,0,"93%","91%","2%"
"Davis, Khris","501981","---","","LF","1",1,1,0,0,0,0,1,"67%","55%","12%"
"Daza, Yonathan","602074","Rockies","","CF","3",4,1,0,2,1,0,3,"90%","88%","2%"
"De Goti, Alex","621008","Astros","","2B","0",0,0,0,0,0,0,0,"100%","100%","0%"
"De La Cruz, Bryan","650559","Marlins","","CF","-1",-1,0,0,0,-1,0,-1,"84%","85%","-1%"
"DeJong, Paul","657557","Cardinals","","SS","3",4,9,-2,-3,0,4,0,"81%","80%","1%"
"DeShields, Delino","592261","Reds","","CF","-1",-1,-1,0,0,0,0,0,"92%","94%","-2%"
"Dean, Austin","621573","Cardinals","","LF","-1",-1,0,-1,0,-1,-1,0,"87%","95%","-8%"
"Deichmann, Greg","656364","Cubs","","RF","0",0,0,0,0,0,0,0,"85%","87%","-2%"
"Devers, José","672701","Marlins","","2B","-2",-2,0,-1,-1,0,1,-3,"63%","69%","-6%"
"Devers, Rafael","646240","Red Sox","","3B","-10",-13,-5,-8,0,0,-11,-2,"68%","71%","-3%"
"Dickerson, Alex","543105","Giants","","LF","-4",-4,-1,-1,-3,0,-2,-2,"86%","90%","-4%"
"Dickerson, Corey","572816","---","","LF","1",1,1,-1,1,0,0,1,"87%","86%","1%"
"Difo, Wilmer","594694","Pirates","","2B","-5",-6,0,-2,-2,-2,-3,-3,"72%","76%","-4%"
"Donaldson, Josh","518626","Twins","","3B","1",1,1,2,-2,1,1,1,"70%","70%","0%"
"Dorow, Ryan","676900","Rangers","","3B","0",0,0,0,0,0,0,0,"43%","41%","2%"
"Dozier, Hunter","641531","Royals","","3B","-13",-16,0,-2,-10,-3,-13,-2,"72%","77%","-5%"
"Drury, Brandon","592273","Mets","","3B","0",-1,0,0,0,0,0,-1,"74%","76%","-2%"
"Dubón, Mauricio","643289","Giants","","SS","2",3,0,0,2,2,2,0,"76%","75%","1%"
"Duffy, Matt","622110","Cubs","","3B","-3",-4,-2,-2,0,0,-2,-3,"68%","70%","-2%"
"Duggar, Steven","621453","Giants","","CF","4",4,2,-1,3,1,3,2,"89%","86%","3%"
"Duran, Jarren","680776","Red Sox","","CF","0",0,0,0,0,0,0,0,"90%","90%","0%"
"Duvall, Adam","594807","---","","RF","4",4,1,4,0,-1,-1,5,"89%","88%","1%"
"Dyson, Jarrod","502481","---","","CF","4",5,0,1,3,1,4,1,"90%","86%","4%"
"Díaz, Aledmys","649557","Astros","","3B","7",9,4,2,3,0,6,3,"75%","71%","4%"
"Díaz, Isan","656371","Marlins","","3B","-5",-7,-1,-4,-1,0,-7,0,"70%","73%","-3%"
"Díaz, Lewin","650331","Marlins","","1B","3",4,0,4,0,0,1,3,"75%","70%","5%"
"Díaz, Yandy","650490","Rays","","3B","-2",-3,0,0,-4,1,-5,2,"66%","67%","-1%"
"Eaton, Adam","594809","---","","RF","-1",-2,1,-1,-1,-1,-2,0,"87%","88%","-1%"
"Edman, Tommy","669242","Cardinals","","2B","11",14,3,4,3,5,5,10,"82%","79%","3%"
"Ellis, Drew","656403","D-backs","","3B","-3",-5,-2,-1,-2,0,-4,-1,"59%","68%","-9%"
"Engel, Adam","641553","White Sox","","CF","2",3,1,1,1,0,1,1,"90%","87%","3%"
"Escobar, Alcides","444876","Nationals","","SS","-2",-2,2,-5,0,1,1,-3,"73%","73%","0%"
"Escobar, Eduardo","500871","---","","3B","0",0,1,0,-1,-1,2,-2,"71%","71%","0%"
"Espinal, Santiago","669289","Blue Jays","","3B","4",5,4,2,-2,0,3,2,"76%","74%","2%"
"Estrada, Thairo","642731","Giants","","SS","1",2,0,0,1,0,0,1,"82%","80%","2%"
"Evans, Phillip","595943","Pirates","","3B","-3",-4,0,-2,-1,-1,0,-4,"73%","76%","-3%"
"Fairchild, Stuart","656413","D-backs","","CF","0",0,0,0,0,0,0,0,"100%","96%","4%"
"Fargas, Johneshwy","641561","---","","CF","0",0,1,1,0,0,0,0,"85%","85%","0%"
"Farmer, Kyle","571657","Reds","","SS","4",5,1,9,-5,0,1,4,"76%","75%","1%"
"Fisher, Derek","605233","Brewers","","RF","0",0,0,0,0,0,0,0,"100%","89%","11%"
"Fletcher, David","664058","Angels","","2B","6",8,8,3,-5,2,6,1,"78%","77%","1%"
"Flores, Wilmer","527038","Giants","","3B","1",1,-2,5,-2,0,-3,4,"75%","74%","1%"
"Florial, Estevan","664314","Yankees","","CF","1",1,0,0,1,0,1,0,"94%","88%","6%"
"Ford, Mike","645801","Yankees","","1B","1",1,0,1,1,-1,-1,2,"66%","63%","3%"
"Fowler, Dexter","451594","Angels","","RF","0",0,0,0,0,0,0,0,"100%","99%","1%"
"Fowler, Dustin","641583","Pirates","","CF","0",0,0,0,0,0,0,0,"90%","90%","0%"
"Fraley, Jake","641584","Mariners","","LF","1",1,1,0,1,-1,1,0,"88%","87%","1%"
"France, Ty","664034","Mariners","","1B","-2",-3,1,-3,-2,1,-2,-1,"71%","72%","-1%"
"Franco, Maikel","596748","Orioles","","3B","-2",-3,2,-5,0,0,-3,0,"66%","67%","-1%"
"Franco, Wander","677551","Rays","","SS","-4",-5,-4,-2,1,0,-4,-1,"74%","75%","-1%"
"Frazier, Adam","624428","---","","2B","1",1,1,-1,0,1,-2,3,"78%","78%","0%"
"Frazier, Clint","640449","Yankees","","LF","-7",-8,-1,-4,-2,-1,-6,-2,"79%","87%","-8%"
"Frazier, Todd","453943","Pirates","","3B","1",1,0,0,0,0,0,0,"75%","69%","6%"
"Freeman, Freddie","518692","Braves","","1B","3",3,3,-3,4,0,-4,8,"70%","69%","1%"
"Freeman, Mike","502273","Reds","","SS","1",2,1,0,0,0,1,1,"80%","75%","5%"
"Friedl, TJ","670770","Reds","","CF","0",0,0,0,0,0,0,0,"75%","76%","-1%"
"Fuentes, Joshua","658069","Rockies","","3B","0",0,1,-1,0,0,1,-1,"77%","77%","0%"
"Gallo, Joey","608336","---","","RF","5",5,0,3,3,0,4,1,"88%","87%","1%"
"Galvis, Freddy","520471","---","","SS","-3",-4,2,-1,-3,-2,2,-6,"72%","73%","-1%"
"Gamel, Ben","592325","---","","LF","-10",-11,-3,-3,-5,0,-5,-6,"81%","86%","-5%"
"García Jr., Luis","671277","Nationals","","2B","-9",-12,-6,1,-6,-1,-9,-3,"72%","78%","-6%"
"García, Adolis","666969","Rangers","","CF","8",8,1,3,4,0,8,0,"90%","88%","2%"
"García, Avisaíl","541645","Brewers","","RF","-2",-2,-2,0,-2,1,-2,0,"88%","89%","-1%"
"García, Leury","544725","White Sox","","2B","-2",-3,-2,3,-2,-2,-3,0,"77%","78%","-1%"
"García, Robel","596825","Astros","","3B","-2",-3,0,-1,-1,0,-2,-1,"68%","70%","-2%"
"Gardner, Brett","458731","Yankees","","CF","0",0,-1,-1,1,1,-1,1,"87%","87%","0%"
"Garlick, Kyle","664247","Twins","","RF","0",0,1,-2,1,0,0,0,"90%","90%","0%"
"Garver, Mitch","641598","Twins","","1B","-1",-1,-1,0,0,0,0,-1,"33%","56%","-23%"
"Giambrone, Trent","623508","Cubs","","2B","0",-1,-1,0,0,0,-1,0,"70%","77%","-7%"
"Giménez, Andrés","665926","Guardians","","SS","2",2,4,1,-2,-1,2,1,"76%","75%","1%"
"Gittens, Chris","656467","Yankees","","1B","1",1,0,0,1,0,1,1,"82%","77%","5%"
"Goldschmidt, Paul","502671","Cardinals","","1B","5",7,7,-1,0,1,2,5,"75%","73%","2%"
"Gonzalez, Marwin","503556","---","","2B","2",3,5,0,-2,0,1,2,"76%","75%","1%"
"Gonzalez, Romy","663853","White Sox","","3B","0",0,0,-1,0,0,0,-1,"70%","74%","-4%"
"González, Erik","570481","Pirates","","3B","2",3,0,3,1,0,4,-1,"73%","71%","2%"
"González, Luis","670768","White Sox","","RF","0",0,0,0,0,0,0,0,"67%","67%","0%"
"Goodrum, Niko","592348","Tigers","","SS","3",4,1,1,1,1,1,3,"75%","74%","1%"
"Goodwin, Brian","571718","White Sox","","RF","-4",-4,-2,-5,3,-1,-1,-3,"86%","89%","-3%"
"Gordon, Nick","624503","Twins","","CF","-2",-2,-2,0,0,0,0,-2,"81%","82%","-1%"
"Gosselin, Phil","594838","Angels","","3B","-4",-5,0,-2,-2,-1,-5,0,"73%","76%","-3%"
"Grandal, Yasmani","518735","White Sox","","1B","-1",-1,0,-1,0,0,0,-1,"67%","77%","-10%"
"Gregorius, Didi","544369","Phillies","","SS","-13",-18,-6,-3,-8,0,-9,-9,"72%","76%","-4%"
"Grichuk, Randal","545341","Blue Jays","","CF","2",3,0,1,2,0,4,-2,"91%","90%","1%"
"Grisham, Trent","663757","Padres","","CF","4",5,0,3,3,-2,-2,6,"89%","87%","2%"
"Grossman, Robbie","543257","Tigers","","RF","-3",-4,0,-1,-3,1,-1,-2,"85%","86%","-1%"
"Guerrero Jr., Vladimir","665489","Blue Jays","","1B","-3",-4,0,0,-1,-2,-2,-1,"75%","76%","-1%"
"Guillorme, Luis","641645","Mets","","2B","0",1,-2,1,1,0,-2,2,"69%","69%","0%"
"Gurriel Jr., Lourdes","666971","Blue Jays","","LF","-7",-7,-1,-2,-2,-2,-5,-2,"83%","86%","-3%"
"Gurriel, Yuli","493329","Astros","","1B","-1",-2,-1,-1,1,0,2,-3,"76%","77%","-1%"
"Gushue, Taylor","656494","Cubs","","1B","0",0,0,0,0,0,0,0,"0%","0%","0%"
"Gutiérrez, Kelvin","642721","---","","3B","1",1,0,-2,4,-1,2,-1,"73%","72%","1%"
"Guzmán, Ronald","608597","Rangers","","1B","0",0,0,0,0,0,0,0,"71%","68%","3%"
"Haase, Eric","606992","Tigers","","LF","0",0,0,0,0,0,0,0,"97%","95%","2%"
"Hager, Jake","606993","---","","2B","0",-1,0,0,-1,0,0,-1,"80%","83%","-3%"
"Haggerty, Sam","664059","Mariners","","LF","0",0,1,0,0,0,0,0,"87%","87%","0%"
"Hamilton, Billy","571740","White Sox","","CF","1",1,-1,2,1,-1,0,1,"94%","93%","1%"
"Hampson, Garrett","641658","Rockies","","CF","6",7,2,1,4,1,3,4,"88%","85%","3%"
"Haniger, Mitch","571745","Mariners","","RF","-7",-8,-2,-1,-3,-1,-8,1,"85%","88%","-3%"
"Happ, Ian","664023","Cubs","","CF","-5",-6,-1,-1,-2,-2,-3,-3,"85%","88%","-3%"
"Harper, Bryce","547180","Phillies","","RF","-6",-7,2,-5,-5,1,-3,-3,"84%","86%","-2%"
"Harrison, Josh","543281","---","","2B","3",5,5,3,0,-4,-1,6,"76%","75%","1%"
"Harrison, Monte","656509","Marlins","","CF","1",1,0,0,1,0,1,0,"100%","83%","17%"
"Haseley, Adam","656514","Phillies","","CF","-1",-1,0,0,-1,0,-1,-1,"79%","86%","-7%"
"Hayes, Ke'Bryan","663647","Pirates","","3B","9",12,4,3,4,2,11,1,"73%","69%","4%"
"Hays, Austin","669720","Orioles","","LF","0",0,-2,1,1,0,0,0,"90%","90%","0%"
"Heath, Nick","670084","D-backs","","CF","2",2,0,1,0,1,1,1,"96%","85%","11%"
"Heineman, Scott","595981","Reds","","CF","0",1,0,0,0,0,0,0,"93%","89%","4%"
"Heredia, Guillermo","628338","Braves","","CF","5",6,1,0,3,2,5,1,"91%","88%","3%"
"Hermosillo, Michael","641684","Cubs","","CF","1",1,0,0,0,0,0,0,"100%","96%","4%"
"Hernandez, Yadiel","628450","Nationals","","LF","-5",-5,0,0,-4,0,-4,-1,"84%","88%","-4%"
"Hernández, César","514917","---","","2B","-1",-1,-1,-5,5,-1,-1,0,"72%","72%","0%"
"Hernández, Enrique","571771","Red Sox","","CF","5",5,1,6,-1,-1,9,-4,"85%","84%","1%"
"Hernández, Teoscar","606192","Blue Jays","","RF","0",0,1,-4,2,1,-2,2,"86%","86%","0%"
"Hernández, Yonny","660634","Rangers","","3B","1",1,1,0,-1,0,1,0,"77%","76%","1%"
"Herrera, Odúbel","546318","Phillies","","CF","4",5,-1,2,4,-1,3,2,"89%","87%","2%"
"Heyward, Jason","518792","Cubs","","RF","4",4,1,1,1,1,0,4,"87%","85%","2%"
"Hicks, Aaron","543305","Yankees","","CF","-1",-1,-2,1,0,0,-1,1,"92%","93%","-1%"
"Hill, Derek","656537","Tigers","","CF","1",1,-2,2,1,0,0,1,"84%","83%","1%"
"Hilliard, Sam","656541","Rockies","","CF","-1",-1,-1,0,-1,0,-2,1,"88%","89%","-1%"
"Hiura, Keston","669374","Brewers","","1B","0",0,-1,1,0,0,0,0,"76%","76%","0%"
"Hoerner, Nico","663538","Cubs","","2B","8",11,3,5,2,1,5,6,"79%","72%","7%"
"Holt, Brock","571788","Rangers","","3B","1",1,-3,1,2,0,0,0,"75%","74%","1%"
"Hoskins, Rhys","656555","Phillies","","1B","-1",-2,0,-1,-2,2,1,-2,"69%","69%","0%"
"Hosmer, Eric","543333","Padres","","1B","1",1,1,-2,1,1,0,1,"78%","77%","1%"
"Hurst, Scott","656568","Cardinals","","CF","0",0,0,0,0,0,0,0,"100%","99%","1%"
"Ibáñez, Andy","628451","Rangers","","2B","3",4,3,1,0,0,3,1,"79%","77%","2%"
"Iglesias, Jose","578428","---","","SS","1",1,2,-1,0,1,-3,4,"74%","74%","0%"
"Inciarte, Ender","542255","Braves","","CF","1",1,0,0,0,1,1,0,"91%","90%","1%"
"India, Jonathan","663697","Reds","","2B","-6",-8,-3,-4,-3,1,-3,-5,"77%","78%","-1%"
"Isbel, Kyle","664728","Royals","","RF","1",1,0,0,1,0,0,0,"90%","89%","1%"
"Jankowski, Travis","608671","Phillies","","CF","2",2,0,1,1,0,1,1,"97%","95%","2%"
"Jay, Jon","445055","Angels","","LF","-1",-1,-1,0,0,0,-1,0,"89%","96%","-7%"
"Jiménez, Eloy","650391","White Sox","","LF","-1",-1,0,2,-2,1,0,0,"81%","81%","0%"
"Joe, Connor","656582","Rockies","","LF","-1",-1,0,0,-1,0,-1,0,"81%","82%","-1%"
"Johnson, Daniel","669288","Guardians","","RF","1",1,0,0,0,1,1,0,"87%","86%","1%"
"Jones, JaCoby","592444","Tigers","","CF","0",0,-1,1,0,0,-2,2,"91%","92%","-1%"
"Jones, Jahmai","663330","Orioles","","2B","-3",-4,-3,-1,-1,0,-4,0,"76%","81%","-5%"
"Jones, Taylor","622100","Astros","","1B","0",0,0,-1,0,0,-1,1,"76%","76%","0%"
"Joyce, Matt","459964","Phillies","","RF","0",0,0,1,0,-1,-1,1,"91%","91%","0%"
