game_id,date,season,fr_tot,fr_rate,fr_nmatch,oaa_team,oaa_lineup,sprint_mean,sprint_imp,velo,whiff
MIL201604050,20160405,2016,-354.35101547909693,-4.745062160561453,2,,,-0.08749999999999858,-0.08749999999999858,2.299999999999997,0.5
PIT201604050,20160405,2016,326.14065843634654,3.697842583071121,2,,,1.1178571428571438,1.0250000000000021,-4.800000000000011,-6.699999999999999
SDN201604050,20160405,2016,184.38439379445708,6.650848432556799,2,,,0.22500000000000142,0.22500000000000142,-1.0999999999999943,5.699999999999999
BAL201604060,20160406,2016,55.77541563542228,0.38360129997839776,2,,,-1.0,-0.8888888888888893,-1.2000000000000028,-6.0
CLE201604060,20160406,2016,97.55679636652889,1.5567902495857595,2,,,-0.13055555555555642,-0.11111111111111427,4.0,5.599999999999998
NYA201604060,20160406,2016,-404.44257101942117,-5.243948487761719,2,,,-1.5236111111111121,-1.4666666666666686,4.400000000000006,2.1999999999999993
OAK201604060,20160406,2016,82.86285554857821,2.986721494046091,2,,,-0.4444444444444464,-0.4444444444444464,-0.4000000000000057,-2.5
TBA201604060,20160406,2016,33.74006540561654,0.35643437025123514,2,,,1.0222222222222221,1.0222222222222221,0.0,1.1999999999999993
TEX201604060,20160406,2016,4.169591807012617,1.1804401886227833,2,,,0.4777777777777814,0.4777777777777814,-2.9000000000000057,-1.1999999999999993
ARI201604060,20160406,2016,234.42222138048965,0.08103670025201293,2,,,1.289285714285711,1.2124999999999986,,
ATL201604060,20160406,2016,-155.00454868103247,-2.0239986646801764,2,,,-0.125,-0.125,-1.5999999999999943,-2.0
CIN201604060,20160406,2016,136.52011292658057,5.209758568397382,2,,,-0.46607142857142847,-0.4250000000000007,2.1000000000000085,3.0
MIA201604060,20160406,2016,-89.09816368567262,0.6373234863307209,2,,,0.6999999999999993,0.6999999999999993,4.200000000000003,7.0
MIL201604060,20160406,2016,-354.35101547909693,-4.745062160561453,2,,,-0.23749999999999716,-0.23749999999999716,-1.5999999999999943,-0.5
PIT201604060,20160406,2016,326.14065843634654,3.697842583071121,2,,,1.3035714285714306,1.1875000000000036,4.5,11.200000000000001
SDN201604060,20160406,2016,367.7272739927964,7.3466413128156995,2,,,0.3928571428571459,0.40000000000000213,,
ANA201604070,20160407,2016,105.7800908858132,1.8525973147142438,2,,,-0.2888888888888914,-0.2888888888888914,-3.3999999999999915,3.8999999999999986
BAL201604070,20160407,2016,-24.547749676205406,-1.0542110054305165,2,,,-1.0999999999999979,-1.0666666666666664,0.4000000000000057,9.1
NYA201604070,20160407,2016,-62.157240874383454,2.6384437083559638,2,,,-1.37361111111111,-1.3333333333333357,8.200000000000003,-0.8000000000000007
OAK201604070,20160407,2016,18.56469625023668,2.7393496312045964,2,,,0.0,0.0,-2.299999999999997,-4.0
ARI201604070,20160407,2016,-438.01622178169316,-6.531944012852975,2,,,0.2875000000000014,0.2875000000000014,4.5,4.300000000000001
CIN201604070,20160407,2016,269.07803389845196,4.284561084652439,2,,,-0.48214285714285765,-0.5124999999999993,,
SFN201604070,20160407,2016,440.45417799742796,10.59700591573101,2,,,0.2624999999999993,0.2624999999999993,-0.7000000000000028,-0.8000000000000007
WAS201604070,20160407,2016,181.71763809994158,2.123784670670381,2,,,-1.0249999999999986,-1.0249999999999986,1.6000000000000085,-6.0
