game_id,season,date,team,epa_off,sr_off,plays_off,epa_pass_off,epa_rush_off,epa_def,sr_def,plays_def
401110731,2019,2019-08-30,txst,-0.5782793901233679,0.0869565217391304,23,-0.5068872246107838,-0.6436650931362204,0.2824864296249511,0.5142857142857142,35
401110732,2019,2019-08-31,uga,0.4936275813619654,0.7027027027027027,37,0.6567156977086467,0.5710397101816791,-0.0414425499969403,0.28,50
401110732,2019,2019-08-31,van,-0.0414425499969403,0.28,50,-0.5237133308837751,0.2085478685038851,0.4936275813619654,0.7027027027027027,37
401110773,2019,2019-09-07,ala,0.3493917921365958,0.4444444444444444,27,0.386795967277338,0.5847710149002588,-0.6063109678772367,0.0555555555555555,18
401110773,2019,2019-09-07,nmsu,-0.6063109678772367,0.0555555555555555,18,-0.6763795373384236,-0.783406635581893,0.3493917921365958,0.4444444444444444,27
401110774,2019,2019-09-07,aub,-0.0813335095620534,0.3472222222222222,72,0.0285100822363458,-0.1102985982012792,-0.3013166691333341,0.2535211267605634,71
401110774,2019,2019-09-07,tuln,-0.3013166691333341,0.2535211267605634,71,-0.3408592556968803,-0.3260086362130886,-0.0813335095620534,0.3472222222222222,72
401110775,2019,2019-09-07,fla,0.2482388861989095,0.5483870967741935,31,0.5999966448406896,-0.0942409763080315,-0.3063437049043326,0.1666666666666666,42
401110775,2019,2019-09-07,utm,-0.3063437049043326,0.1666666666666666,42,-0.2005619502570365,-0.4321548326054964,0.2482388861989095,0.5483870967741935,31
401110776,2019,2019-09-07,mur,-0.3433906991069795,0.2333333333333333,30,0.1249919622559891,-0.4200192888926882,0.2519885050154181,0.6333333333333333,30
401110776,2019,2019-09-07,uga,0.2519885050154181,0.6333333333333333,30,0.2318157311519468,0.5905707341927223,-0.3433906991069795,0.2333333333333333,30
401110777,2019,2019-09-07,emu,-0.1776805577038174,0.3584905660377358,53,-0.0566984034577104,-0.5191114745655375,0.326402238045425,0.4833333333333333,60
401110777,2019,2019-09-07,uk,0.326402238045425,0.4833333333333333,60,0.1351415124136164,0.6813203664513939,-0.1776805577038174,0.3584905660377358,53
401110778,2019,2019-09-07,lsu,0.4158028791286338,0.5301204819277109,83,0.656304586784114,0.2238498073623233,0.1888681711755615,0.4105263157894737,95
401110778,2019,2019-09-07,tex,0.1888681711755615,0.4105263157894737,95,0.3533439664984819,-0.0566967105071742,0.4158028791286338,0.5301204819277109,83
401110779,2019,2019-09-07,ark,-0.3119144312835411,0.2361111111111111,72,-0.2018817821341831,-0.1804176770726849,0.051443726127143,0.44,75
401110779,2019,2019-09-07,miss,0.051443726127143,0.44,75,0.4506470369217277,-0.1362551475634243,-0.3119144312835411,0.2361111111111111,72
401110780,2019,2019-09-07,msst,0.3774488066471325,0.4642857142857143,28,0.6177170073123462,0.2048334050986281,-0.3135682387943193,0.3684210526315789,38
