team_id,season,xwoba,pa,for_season
141,2019,0.3162874329076439,5403.0,2020
142,2019,0.34622999843431973,6387.0,2020
143,2019,0.31473776171110107,6639.0,2020
144,2019,0.33010879930645853,6921.0,2020
145,2019,0.3057491567548376,5633.0,2020
146,2019,0.29736380165289256,6050.0,2020
147,2019,0.3404556159420289,6624.0,2020
158,2019,0.3204099388871019,6218.0,2020
108,2020,0.32757733990147786,2030.0,2021
109,2020,0.3122104499274311,2067.0,2021
110,2020,0.3034665477252453,2242.0,2021
111,2020,0.30739971414959505,2099.0,2021
112,2020,0.3159081081081081,2405.0,2021
113,2020,0.33073513011152417,2152.0,2021
114,2020,0.3193462199312715,2328.0,2021
115,2020,0.29535501468736886,2383.0,2021
116,2020,0.3058249258160238,2022.0,2021
117,2020,0.31565545087483177,2229.0,2021
118,2020,0.3118851044504996,2202.0,2021
119,2020,0.3603406735751295,2316.0,2021
120,2020,0.3273123336291039,2254.0,2021
121,2020,0.3305528255528255,2442.0,2021
133,2020,0.3281615776081426,2358.0,2021
134,2020,0.2984073182474723,2077.0,2021
135,2020,0.36248406809253597,2291.0,2021
136,2020,0.306395195478097,2123.0,2021
137,2020,0.32842309368191713,2295.0,2021
138,2020,0.3197911486822476,2011.0,2021
139,2020,0.31734204596665166,2219.0,2021
140,2020,0.29867374810318664,1977.0,2021
141,2020,0.329520253164557,2370.0,2021
142,2020,0.32298507462686565,2144.0,2021
143,2020,0.3422568600989654,2223.0,2021
144,2020,0.35229334428923575,2434.0,2021
145,2020,0.32303962101636513,2322.0,2021
146,2020,0.31062471290767113,2177.0,2021
147,2020,0.34613474538080213,2219.0,2021
158,2020,0.3260587112171838,2095.0,2021
108,2021,0.31073493975903616,5727.0,2022
109,2021,0.29204227263913124,5157.0,2022
110,2021,0.3055327925440111,5794.0,2022
111,2021,0.33737579712294236,6743.0,2022
112,2021,0.29520345533075704,4399.0,2022
113,2021,0.32199567901234555,6480.0,2022
114,2021,0.30875149031296567,5368.0,2022
115,2021,0.30455652316792636,6086.0,2022
116,2021,0.3080251239104426,5851.0,2022
117,2021,0.336183448502797,6078.0,2022
118,2021,0.31206773651800707,5359.0,2022
119,2021,0.3294903804426443,6913.0,2022
120,2021,0.31788107443100266,4877.0,2022
121,2021,0.3087806535101909,6182.0,2022
133,2021,0.32914161064225433,6991.0,2022
134,2021,0.2940828279327673,5771.0,2022
135,2021,0.3181676187612748,6652.0,2022
136,2021,0.30724557768924304,6275.0,2022
137,2021,0.3242586573511544,6584.0,2022
138,2021,0.3205149983147961,5934.0,2022
139,2021,0.31887115324836807,6434.0,2022
140,2021,0.2908549232158988,5535.0,2022
141,2021,0.33678166504697116,6174.0,2022
142,2021,0.3311762352122477,5748.0,2022
143,2021,0.31219064918654243,6331.0,2022
144,2021,0.32950333867521364,7488.0,2022
145,2021,0.3261967506092608,6155.0,2022
146,2021,0.28341056055098524,5227.0,2022
147,2021,0.33250263120466506,7031.0,2022
158,2021,0.31090474717798056,6467.0,2022
108,2022,0.3016915966386555,5950.0,2023
109,2022,0.29823455127125775,5939.0,2023
110,2022,0.30636970271979763,6324.0,2023
111,2022,0.31869479409479406,6435.0,2023
112,2022,0.30373286894540746,6173.0,2023
113,2022,0.2881575098814229,5060.0,2023
114,2022,0.30347709654686406,5676.0,2023
115,2022,0.3029310401310401,6105.0,2023
116,2022,0.2908796396396396,5550.0,2023
117,2022,0.32955880149812733,6675.0,2023
118,2022,0.3088816889632107,4784.0,2023
119,2022,0.33209231962761826,6445.0,2023
120,2022,0.29391936645068395,5556.0,2023
121,2022,0.325760147601476,6775.0,2023
133,2022,0.2867899114084253,5531.0,2023
134,2022,0.2881039603960396,5656.0,2023
135,2022,0.3230106827682305,6459.0,2023
136,2022,0.32033572409583394,6553.0,2023
137,2022,0.31187846627867166,5842.0,2023
138,2022,0.3248616110431592,5723.0,2023
139,2022,0.30384734860370255,6374.0,2023
140,2022,0.30564807285737516,6149.0,2023
141,2022,0.3260624539696568,6789.0,2023
142,2022,0.32688037109374996,6144.0,2023
143,2022,0.32378708171206233,6425.0,2023
144,2022,0.3288033939764562,6541.0,2023
145,2022,0.3111259656314047,6343.0,2023
146,2022,0.3015777777777777,5490.0,2023
147,2022,0.33413141174647437,6453.0,2023
158,2022,0.3174333007175473,6132.0,2023
108,2023,0.3206596177944862,6384.0,2024
109,2023,0.31417326808380486,6539.0,2024
110,2023,0.3180571059848363,6199.0,2024
111,2023,0.32061838059446535,5854.0,2024
112,2023,0.3247192103264996,6585.0,2024
113,2023,0.31013998287671235,7008.0,2024
114,2023,0.30374737927478945,5819.0,2024
115,2023,0.2987442331040065,4942.0,2024
116,2023,0.3141041809458533,5836.0,2024
117,2023,0.3323319013524264,6285.0,2024
118,2023,0.319235596707819,5832.0,2024
119,2023,0.3331030060672917,7252.0,2024
120,2023,0.30518019767031407,5666.0,2024
121,2023,0.32060145468108914,5362.0,2024
133,2023,0.29856060044477395,5396.0,2024
134,2023,0.3137679472254559,5154.0,2024
135,2023,0.3268476285146265,7042.0,2024
136,2023,0.32547078028077053,6126.0,2024
137,2023,0.31120515933232173,6590.0,2024
138,2023,0.3338189523648076,5899.0,2024
139,2023,0.3213098702942107,6322.0,2024
140,2023,0.3334986908978901,6493.0,2024
141,2023,0.32557270222078133,6169.0,2024
142,2023,0.3251481719050674,6236.0,2024
143,2023,0.3248766910278339,6431.0,2024
144,2023,0.36036439758102023,6449.0,2024
145,2023,0.2953963348904061,5566.0,2024
146,2023,0.32089386169386164,6435.0,2024
147,2023,0.3274922260837754,5467.0,2024
158,2023,0.31273337274608337,6766.0,2024
108,2024,0.30701167907921456,5908.0,2025
109,2024,0.3297237359755209,6863.0,2025
110,2024,0.3262077723378212,6536.0,2025
111,2024,0.3142715049408716,6173.0,2025
112,2024,0.3145309056061332,6261.0,2025
113,2024,0.3039290491421925,6878.0,2025
114,2024,0.3048806018443618,6181.0,2025
115,2024,0.3031402000350939,5699.0,2025
116,2024,0.30591044483637075,5103.0,2025
117,2024,0.325075420336269,6245.0,2025
118,2024,0.31799292520935607,6926.0,2025
119,2024,0.3397056291390729,6040.0,2025
120,2024,0.30144889250152407,4921.0,2025
121,2024,0.3286252923748636,6413.0,2025
133,2024,0.30986334240980257,5876.0,2025
134,2024,0.30991995308605774,6821.0,2025
135,2024,0.3278262979849978,6799.0,2025
136,2024,0.3161709652509652,6475.0,2025
137,2024,0.3119513804479944,5759.0,2025
138,2024,0.3151296829971182,5899.0,2025
139,2024,0.29897853751187076,5265.0,2025
140,2024,0.3110088684513056,6089.0,2025
141,2024,0.3162736149860502,5018.0,2025
142,2024,0.31872676792422017,6123.0,2025
143,2024,0.3281730451996041,6062.0,2025
144,2024,0.32104257598072033,7469.0,2025
145,2024,0.28569951503394764,5155.0,2025
146,2024,0.2954179730624862,4529.0,2025
147,2024,0.3425554252199413,6820.0,2025
158,2024,0.3143231320201856,6143.0,2025
108,2025,0.30777894242803505,6392.0,2026
109,2025,0.32234155339805814,5150.0,2026
110,2025,0.30477353481723496,4897.0,2026
111,2025,0.3133618987936706,6383.0,2026
112,2025,0.3309745112237508,6905.0,2026
113,2025,0.29639179566563467,6460.0,2026
114,2025,0.2916893221574344,5488.0,2026
115,2025,0.29132936435244555,5459.0,2026
116,2025,0.3202506154603644,6093.0,2026
