season,date,game_pk,venue_id,hp_ump_id,has_ump
2021,2021-09-18,632448,4169.0,605673,1.0
2021,2021-09-18,632439,5325.0,427197,1.0
2021,2021-09-18,632456,2392.0,482631,1.0
2021,2021-09-18,632449,7.0,427235,1.0
2021,2021-09-18,632488,2889.0,427093,1.0
2021,2021-09-18,632447,3289.0,427044,1.0
2021,2021-09-18,632425,32.0,489985,1.0
2021,2021-09-18,632442,2395.0,503586,1.0
2021,2021-09-18,632444,1.0,428442,1.0
2021,2021-09-19,632438,3309.0,521051,1.0
2021,2021-09-19,632380,3313.0,573596,1.0
2021,2021-09-19,632446,14.0,596809,1.0
2021,2021-09-19,632419,3.0,427139,1.0
2021,2021-09-19,632432,2602.0,503502,1.0
2021,2021-09-19,632421,12.0,427224,1.0
2021,2021-09-19,632411,4169.0,482641,1.0
2021,2021-09-19,632422,2392.0,427113,1.0
2021,2021-09-19,632416,7.0,596740,1.0
2021,2021-09-19,632413,32.0,427413,1.0
2021,2021-09-19,632443,2889.0,484183,1.0
2021,2021-09-19,632434,5325.0,427533,1.0
2021,2021-09-19,632433,2395.0,511890,1.0
2021,2021-09-19,632420,1.0,623938,1.0
2021,2021-09-19,632407,3289.0,431232,1.0
2021,2021-09-20,632437,5.0,482666,1.0
2021,2021-09-20,632435,2602.0,482620,1.0
2021,2021-09-20,632423,2394.0,427013,1.0
2021,2021-09-20,632408,4169.0,644760,1.0
2021,2021-09-20,632429,2681.0,482663,1.0
2021,2021-09-20,632414,3313.0,427248,1.0
2021,2021-09-20,632406,12.0,427292,1.0
2021,2021-09-20,632415,32.0,596805,1.0
2021,2021-09-20,632424,1.0,598411,1.0
2021,2021-09-20,632412,10.0,427128,1.0
2021,2021-09-20,632426,15.0,483912,1.0
2021,2021-09-21,632405,2394.0,427220,1.0
2021,2021-09-21,632398,5.0,605673,1.0
2021,2021-09-21,632403,2602.0,521251,1.0
2021,2021-09-21,632379,4169.0,573597,1.0
2021,2021-09-21,632402,2681.0,483564,1.0
2021,2021-09-21,632396,3313.0,577468,1.0
2021,2021-09-21,632410,3.0,427206,1.0
2021,2021-09-21,632391,12.0,427538,1.0
2021,2021-09-21,632404,17.0,490319,1.0
2021,2021-09-21,632397,32.0,427362,1.0
2021,2021-09-21,632399,19.0,483569,1.0
2021,2021-09-21,632418,1.0,429805,1.0
2021,2021-09-21,632401,10.0,504381,1.0
2021,2021-09-21,632428,15.0,427554,1.0
2021,2021-09-21,632378,2680.0,484198,1.0
2021,2021-09-22,632377,12.0,427129,1.0
2021,2021-09-22,632385,4169.0,427344,1.0
2021,2021-09-22,632382,2681.0,427243,1.0
2021,2021-09-22,632381,3313.0,605672,1.0
2021,2021-09-22,632389,3.0,483919,1.0
2021,2021-09-22,632400,17.0,503490,1.0
2021,2021-09-22,632386,32.0,427113,1.0
2021,2021-09-22,632394,19.0,427339,1.0
2021,2021-09-22,632395,1.0,489985,1.0
2021,2021-09-22,632383,10.0,427184,1.0
2021,2021-09-22,632392,15.0,575629,1.0
2021,2021-09-22,632384,2680.0,594151,1.0
2021,2021-09-27,632388,2602.0,521889,1.0
2021,2021-09-27,632393,2394.0,483561,1.0
2021,2021-09-27,632409,5.0,521051,1.0
2021,2021-09-23,632372,5.0,482663,1.0
2021,2021-09-23,632367,32.0,547380,1.0
2021,2021-09-23,632376,19.0,427224,1.0
2021,2021-09-23,632368,10.0,605674,1.0
2021,2021-09-23,632374,15.0,427235,1.0
2021,2021-09-23,632370,2680.0,427197,1.0
2021,2021-09-23,632387,2602.0,521889,1.0
2021,2021-09-23,632390,2.0,573596,1.0
2021,2021-09-23,632365,2681.0,427053,1.0
2021,2021-09-23,632375,3312.0,482608,1.0
2021,2021-09-23,632371,1.0,427103,1.0
2021,2021-09-24,632339,17.0,427286,1.0
2021,2021-09-24,632369,2.0,482620,1.0
2021,2021-09-24,632360,2681.0,428442,1.0
2021,2021-09-24,632361,2394.0,427093,1.0
2021,2021-09-24,632364,2602.0,596809,1.0
2021,2021-09-24,632363,5.0,605673,1.0
2021,2021-09-24,632358,12.0,596805,1.0
2021,2021-09-24,632373,3.0,544728,1.0
2021,2021-09-24,632362,19.0,483912,1.0
2021,2021-09-24,632357,3312.0,427248,1.0
2021,2021-09-24,632366,32.0,482641,1.0
2021,2021-09-24,632359,1.0,427533,1.0
2021,2021-09-24,632340,15.0,598411,1.0
2021,2021-09-24,632356,10.0,596740,1.0
2021,2021-09-24,632352,2680.0,427128,1.0
2021,2021-09-25,632351,17.0,573597,1.0
2021,2021-09-25,632341,2681.0,490319,1.0
2021,2021-09-25,632342,10.0,483569,1.0
2021,2021-09-25,632354,3.0,427292,1.0
2021,2021-09-25,632347,2394.0,427206,1.0
2021,2021-09-25,632335,12.0,484499,1.0
2021,2021-09-25,632355,2.0,521251,1.0
2021,2021-09-25,632338,2602.0,427013,1.0
2021,2021-09-25,632350,3312.0,577468,1.0
2021,2021-09-25,632346,32.0,427534,1.0
2021,2021-09-25,632343,2680.0,504381,1.0
2021,2021-09-25,632348,5.0,483564,1.0
2021,2021-09-25,632353,15.0,489985,1.0
2021,2021-09-25,632349,19.0,427554,1.0
2021,2021-09-25,632344,1.0,484198,1.0
2021,2021-09-26,632326,2394.0,623938,1.0
2021,2021-09-26,632334,2.0,605671,1.0
2021,2021-09-26,632329,2681.0,503490,1.0
2021,2021-09-26,632333,2602.0,427220,1.0
2021,2021-09-26,632330,5.0,427243,1.0
2021,2021-09-26,632290,12.0,427362,1.0
2021,2021-09-26,632336,3312.0,605672,1.0
2021,2021-09-26,632328,32.0,484183,1.0
2021,2021-09-26,632332,17.0,427344,1.0
2021,2021-09-26,632331,19.0,575629,1.0
2021,2021-09-26,632324,10.0,427339,1.0
2021,2021-09-26,632327,1.0,594151,1.0
2021,2021-09-26,632337,15.0,427103,1.0
2021,2021-09-26,632325,2680.0,427184,1.0
2021,2021-09-26,632345,3.0,427538,1.0
2021,2021-09-27,632319,19.0,623946,1.0
2021,2021-09-27,632323,680.0,427019,1.0
2021,2021-09-28,632311,3289.0,482663,1.0
2021,2021-09-28,632313,31.0,427197,1.0
2021,2021-09-28,632317,2.0,482631,1.0
2021,2021-09-28,632288,14.0,427286,1.0
2021,2021-09-28,632320,4705.0,483564,1.0
2021,2021-09-28,632289,3312.0,429805,1.0
2021,2021-09-28,632314,2889.0,427129,1.0
2021,2021-09-28,632308,5325.0,427235,1.0
2021,2021-09-28,632315,7.0,596809,1.0
2021,2021-09-28,632316,2392.0,605674,1.0
2021,2021-09-28,632321,4.0,427315,1.0
2021,2021-09-28,632322,19.0,521251,1.0
2021,2021-09-28,632307,2395.0,482608,1.0
2021,2021-09-28,632318,22.0,483630,1.0
2021,2021-09-28,632312,680.0,503077,1.0
2021,2021-09-29,632310,19.0,511890,1.0
2021,2021-09-29,632287,31.0,427533,1.0
2021,2021-09-29,632309,2.0,596805,1.0
2021,2021-09-29,632296,14.0,573597,1.0
2021,2021-09-29,632303,3289.0,427520,1.0
2021,2021-09-29,632306,4705.0,427090,1.0
2021,2021-09-29,632300,3312.0,598411,1.0
2021,2021-09-29,632301,2889.0,544728,1.0
2021,2021-09-29,632295,5325.0,483912,1.0
2021,2021-09-29,632302,7.0,427013,1.0
2021,2021-09-29,632305,2392.0,427128,1.0
2021,2021-09-29,632304,4.0,427509,1.0
2021,2021-09-29,632298,2395.0,427248,1.0
2021,2021-09-29,632297,22.0,503586,1.0
2021,2021-09-29,632299,680.0,427044,1.0
2021,2021-09-30,632281,2889.0,427103,1.0
2021,2021-09-30,632275,5325.0,545402,1.0
2021,2021-09-30,632286,31.0,577468,1.0
2021,2021-09-30,632294,2.0,484499,1.0
2021,2021-09-30,632280,14.0,427243,1.0
2021,2021-09-30,632292,2392.0,504381,1.0
2021,2021-09-30,632283,3289.0,521051,1.0
2021,2021-09-30,632293,4705.0,482666,1.0
2021,2021-09-30,632285,3312.0,489985,1.0
2021,2021-09-30,632284,7.0,427220,1.0
2021,2021-09-30,632278,2395.0,594151,1.0
2021,2021-09-30,632291,22.0,573769,1.0
2021,2021-10-01,632250,31.0,427362,1.0
2021,2021-10-01,632261,3309.0,428442,1.0
2021,2021-10-01,632282,3313.0,521889,1.0
2021,2021-10-01,632268,14.0,484198,1.0
2021,2021-10-01,632271,4169.0,547380,1.0
2021,2021-10-01,632277,4705.0,427344,1.0
2021,2021-10-01,632248,5325.0,427413,1.0
2021,2021-10-01,632279,2392.0,427235,1.0
2021,2021-10-01,632272,7.0,483564,1.0
2021,2021-10-01,632274,4.0,427537,1.0
2021,2021-10-01,632266,2889.0,427184,1.0
2021,2021-10-01,632276,15.0,483630,1.0
2021,2021-10-01,632267,2395.0,427538,1.0
2021,2021-10-01,632270,680.0,605672,1.0
2021,2021-10-01,632273,22.0,431232,1.0
2021,2021-10-02,632259,3313.0,427013,1.0
2021,2021-10-02,632247,14.0,427197,1.0
2021,2021-10-02,632244,3309.0,427093,1.0
2021,2021-10-02,632256,2395.0,427292,1.0
2021,2021-10-02,632263,4169.0,483561,1.0
2021,2021-10-02,632258,31.0,482631,1.0
2021,2021-10-02,632251,5325.0,598411,1.0
2021,2021-10-02,632249,2392.0,575629,1.0
2021,2021-10-02,632264,7.0,503493,1.0
2021,2021-10-02,632265,4.0,623946,1.0
2021,2021-10-02,632257,2889.0,605674,1.0
2021,2021-10-02,632262,4705.0,427286,1.0
2021,2021-10-02,632269,15.0,503586,1.0
2021,2021-10-02,632255,680.0,482608,1.0
2021,2021-10-02,632260,22.0,427019,1.0
2021,2021-10-03,632234,3309.0,427090,1.0
2021,2021-10-03,632240,31.0,596805,1.0
2021,2021-10-03,632241,2395.0,427129,1.0
2021,2021-10-03,632236,5325.0,554242,1.0
2021,2021-10-03,632239,3313.0,427220,1.0
2021,2021-10-03,632235,14.0,427533,1.0
2021,2021-10-03,632253,15.0,596809,1.0
2021,2021-10-03,632245,2392.0,483912,1.0
2021,2021-10-03,632237,680.0,427248,1.0
2021,2021-10-03,632243,7.0,427520,1.0
2021,2021-10-03,632252,4.0,521251,1.0
2021,2021-10-03,632246,4169.0,427315,1.0
2021,2021-10-03,632242,22.0,503077,1.0
2021,2021-10-03,632238,2889.0,427128,1.0
2021,2021-10-03,632254,4705.0,573597,1.0
2021,2021-10-05,660938,3.0,427053,1.0
2021,2021-10-06,660937,22.0,427538,1.0
2021,2021-10-07,660936,2392.0,503077,1.0
2021,2021-10-07,660929,12.0,483564,1.0
2021,2021-10-08,660934,2392.0,482620,1.0
2021,2021-10-08,660917,32.0,482631,1.0
2021,2021-10-08,660932,12.0,482666,1.0
2021,2021-10-08,660933,2395.0,547380,1.0
2021,2021-10-09,660907,32.0,483912,1.0
2021,2021-10-09,660925,2395.0,427220,1.0
2021,2021-10-10,660928,3.0,427235,1.0
2021,2021-10-10,660931,4.0,427206,1.0
2021,2021-10-11,660905,4705.0,427315,1.0
2021,2021-10-11,660927,3.0,427292,1.0
2021,2021-10-11,660919,22.0,427019,1.0
2021,2021-10-12,660926,4.0,483569,1.0
2021,2021-10-12,660914,4705.0,427413,1.0
2021,2021-10-12,660918,22.0,573596,1.0
2021,2021-10-14,660920,2395.0,427139,1.0
2021,2021-10-15,660896,2392.0,482663,1.0
2021,2021-10-16,660913,2392.0,427128,1.0
2021,2021-10-16,660924,4705.0,503586,1.0
2021,2021-10-17,660922,4705.0,490319,1.0
2021,2021-10-18,660898,3.0,427344,1.0
2021,2021-10-19,660916,22.0,427339,1.0
2021,2021-10-19,660923,3.0,427113,1.0
2021,2021-10-20,660900,3.0,427248,1.0
2021,2021-10-20,660904,22.0,428442,1.0
2021,2021-10-21,660903,22.0,427053,1.0
2021,2021-10-22,660899,2392.0,427554,1.0
2021,2021-10-23,660921,4705.0,427013,1.0
2021,2021-10-26,660897,2392.0,482620,1.0
2021,2021-10-27,660908,2392.0,427292,1.0
2021,2021-10-29,660910,4705.0,427206,1.0
2021,2021-10-30,660902,4705.0,483564,1.0
2021,2021-10-31,660911,4705.0,427019,1.0
2021,2021-11-02,660906,2392.0,483912,1.0
2022,2022-04-07,663178,17.0,427019,1.0
2022,2022-04-07,662766,7.0,427093,1.0
2022,2022-04-07,662021,2889.0,427424,1.0
2022,2022-04-07,662571,3309.0,427053,1.0
2022,2022-04-07,661577,4705.0,427299,1.0
2022,2022-04-07,661042,1.0,427224,1.0
2022,2022-04-07,663418,15.0,427520,1.0
2022,2022-04-08,661333,3313.0,427113,1.0
2022,2022-04-08,661750,3312.0,427292,1.0
2022,2022-04-08,662888,2394.0,427243,1.0
2022,2022-04-08,661131,2681.0,427248,1.0
2022,2022-04-08,661918,12.0,427362,1.0
2022,2022-04-08,662933,19.0,427533,1.0
2022,2022-04-08,662124,2395.0,427315,1.0
2022,2022-04-08,662559,3309.0,427197,1.0
2022,2022-04-08,661782,14.0,427534,1.0
2022,2022-04-08,661576,4705.0,427537,1.0
2022,2022-04-08,661041,1.0,483569,1.0
2022,2022-04-08,663417,15.0,483564,1.0
2022,2022-05-30,663147,17.0,427286,1.0
2022,2022-04-09,661917,12.0,427044,1.0
2022,2022-04-09,662864,2394.0,482641,1.0
2022,2022-04-09,661756,3312.0,427168,1.0
2022,2022-04-09,662020,2889.0,429805,1.0
2022,2022-04-09,663205,17.0,427013,1.0
2022,2022-04-09,661803,14.0,427164,1.0
2022,2022-04-09,661130,2681.0,482608,1.0
2022,2022-04-09,662123,2395.0,483561,1.0
2022,2022-04-09,661332,3313.0,427366,1.0
2022,2022-04-09,662765,7.0,484183,1.0
2022,2022-04-09,662588,3309.0,490319,1.0
2022,2022-04-09,661575,4705.0,489985,1.0
2022,2022-04-09,662931,19.0,484198,1.0
2022,2022-04-09,663404,15.0,503493,1.0
2022,2022-04-09,661040,1.0,596740,1.0
2022,2022-04-10,661129,2681.0,521251,1.0
2022,2022-04-10,661916,12.0,484499,1.0
2022,2022-04-10,662887,2394.0,483630,1.0
2022,2022-04-10,662570,3309.0,596809,1.0
2022,2022-04-10,661573,4705.0,503077,1.0
2022,2022-04-10,661802,14.0,573597,1.0
2022,2022-04-10,662755,7.0,483919,1.0
2022,2022-04-10,661738,3312.0,482620,1.0
2022,2022-04-10,662019,2889.0,483912,1.0
2022,2022-04-10,663204,17.0,544728,1.0
2022,2022-04-10,662934,19.0,573769,1.0
2022,2022-04-10,662122,2395.0,594151,1.0
2022,2022-04-10,661039,1.0,605674,1.0
2022,2022-04-10,663395,15.0,608093,1.0
2022,2022-04-10,661316,3313.0,503586,1.0
2022,2022-04-11,662754,7.0,623938,1.0
2022,2022-04-11,663403,2.0,431232,1.0
2022,2022-04-11,662042,5325.0,427344,1.0
2022,2022-04-11,662863,2394.0,521889,1.0
2022,2022-04-11,661915,12.0,427299,1.0
2022,2022-04-11,661637,2681.0,503502,1.0
2022,2022-04-11,661315,3313.0,427144,1.0
2022,2022-04-11,661572,4705.0,427220,1.0
2022,2022-04-11,661754,3312.0,547380,1.0
2022,2022-04-11,661036,1.0,521051,1.0
2022,2022-04-11,662116,2395.0,427184,1.0
2022,2022-06-14,662018,2889.0,623949,1.0
2022,2022-04-12,662862,2394.0,427362,1.0
2022,2022-04-12,663088,2602.0,427520,1.0
2022,2022-04-12,661538,4.0,427093,1.0
2022,2022-04-12,662318,31.0,605672,1.0
2022,2022-04-12,661944,12.0,427537,1.0
2022,2022-04-12,661636,2681.0,427243,1.0
2022,2022-04-12,661314,3313.0,428442,1.0
2022,2022-04-12,663295,2.0,427113,1.0
2022,2022-04-12,661038,1.0,427315,1.0
2022,2022-04-12,661571,4705.0,427554,1.0
2022,2022-04-12,661753,3312.0,427339,1.0
2022,2022-04-12,662017,2889.0,427292,1.0
2022,2022-04-12,661995,5325.0,427139,1.0
2022,2022-04-12,663411,15.0,596805,1.0
2022,2022-04-12,662104,2395.0,427197,1.0
2022,2022-04-13,661570,4705.0,482666,1.0
2022,2022-04-13,663117,2602.0,483564,1.0
2022,2022-04-13,662317,31.0,427533,1.0
2022,2022-04-13,661643,2681.0,482641,1.0
2022,2022-04-13,662885,2394.0,427044,1.0
2022,2022-04-13,661734,3312.0,427224,1.0
2022,2022-04-13,663341,15.0,427424,1.0
2022,2022-04-13,662115,2395.0,427128,1.0
2022,2022-04-13,661943,12.0,489985,1.0
2022,2022-04-13,661313,3313.0,427129,1.0
2022,2022-04-13,663433,2.0,575629,1.0
2022,2022-04-13,661530,4.0,484183,1.0
2022,2022-05-02,662009,2889.0,554242,1.0
2022,2022-04-14,661942,12.0,503077,1.0
2022,2022-04-14,661529,4.0,483919,1.0
2022,2022-04-14,661292,32.0,483561,1.0
2022,2022-04-14,662307,31.0,596740,1.0
2022,2022-04-14,661418,4169.0,484198,1.0
2022,2022-04-14,661312,3313.0,573596,1.0
2022,2022-04-14,661993,5325.0,483630,1.0
2022,2022-04-14,662702,7.0,427053,1.0
2022,2022-04-14,662237,2680.0,427286,1.0
2022,2022-04-14,662950,19.0,427168,1.0
2022,2022-04-14,662627,22.0,429805,1.0
2022,2022-04-15,662485,3289.0,427366,1.0
2022,2022-04-15,663265,3.0,427299,1.0
2022,2022-04-15,662291,31.0,605674,1.0
2022,2022-04-15,661417,4169.0,511890,1.0
2022,2022-04-15,663357,2.0,427206,1.0
2022,2022-04-15,661792,14.0,521889,1.0
2022,2022-04-15,663136,5.0,427144,1.0
2022,2022-04-15,661528,4.0,482663,1.0
2022,2022-04-15,662014,5325.0,503502,1.0
2022,2022-04-15,662701,7.0,427220,1.0
2022,2022-04-15,661267,32.0,594151,1.0
2022,2022-04-15,662960,19.0,482620,1.0
2022,2022-04-15,662236,2680.0,577468,1.0
2022,2022-04-15,662192,680.0,504381,1.0
2022,2022-04-15,662620,22.0,483912,1.0
2022,2022-04-16,662626,3289.0,431232,1.0
2022,2022-04-16,661527,4.0,608093,1.0
2022,2022-04-16,661759,14.0,427362,1.0
2022,2022-04-16,662235,2680.0,427344,1.0
2022,2022-04-16,662798,7.0,427554,1.0
2022,2022-04-16,663238,3.0,427537,1.0
2022,2022-04-16,663076,5.0,428442,1.0
2022,2022-04-16,661416,4169.0,605672,1.0
2022,2022-04-16,662290,31.0,427339,1.0
2022,2022-04-16,661981,5325.0,427243,1.0
2022,2022-04-16,663266,2.0,427093,1.0
2022,2022-04-16,661335,32.0,427534,1.0
2022,2022-04-16,662966,19.0,547380,1.0
2022,2022-04-16,662206,680.0,427184,1.0
2022,2022-04-16,662619,22.0,596805,1.0
2022,2022-04-17,663365,2.0,484183,1.0
2022,2022-04-17,662294,31.0,427224,1.0
2022,2022-04-17,663308,3.0,489985,1.0
2022,2022-04-17,661804,14.0,575629,1.0
2022,2022-04-17,662625,3289.0,484499,1.0
2022,2022-04-17,663132,5.0,427129,1.0
2022,2022-04-17,661415,4169.0,427533,1.0
2022,2022-04-17,661462,4.0,427520,1.0
2022,2022-04-17,661226,32.0,427315,1.0
2022,2022-04-17,662038,5325.0,482641,1.0
2022,2022-04-17,662930,19.0,427292,1.0
2022,2022-04-17,662618,22.0,427424,1.0
2022,2022-04-17,662174,680.0,521051,1.0
2022,2022-04-17,662234,2680.0,427139,1.0
2022,2022-07-11,662700,7.0,484183,1.0
2022,2022-04-18,663236,3.0,503077,1.0
2022,2022-04-18,663197,17.0,429805,1.0
2022,2022-04-18,661242,32.0,427248,1.0
2022,2022-04-18,662928,2392.0,483564,1.0
2022,2022-04-18,662929,19.0,573596,1.0
2022,2022-04-18,662407,10.0,427128,1.0
2022,2022-04-18,662233,2680.0,427053,1.0
2022,2022-04-18,662617,22.0,503490,1.0
2022,2022-07-12,663087,5.0,596740,1.0
2022,2022-04-19,662587,3309.0,598411,1.0
2022,2022-04-19,662616,3289.0,594151,1.0
2022,2022-04-19,662583,3309.0,427019,1.0
2022,2022-04-19,662350,3289.0,503586,1.0
2022,2022-04-19,661405,4169.0,483919,1.0
2022,2022-04-19,662896,2394.0,554242,1.0
2022,2022-04-19,663249,3.0,482666,1.0
2022,2022-04-19,663196,17.0,483912,1.0
2022,2022-04-19,661211,32.0,482608,1.0
2022,2022-04-19,662927,2392.0,605674,1.0
2022,2022-04-19,662753,7.0,427286,1.0
2022,2022-04-19,662925,19.0,427144,1.0
2022,2022-04-19,662406,10.0,504381,1.0
2022,2022-04-19,662232,2680.0,623938,1.0
2022,2022-04-19,662161,680.0,427168,1.0
2022,2022-04-19,662717,22.0,427164,1.0
2022,2022-04-20,663075,5.0,427366,1.0
2022,2022-04-20,661203,32.0,644760,1.0
2022,2022-04-20,663094,5.0,427113,1.0
2022,2022-04-20,662924,19.0,605670,1.0
2022,2022-04-20,662734,22.0,605671,1.0
2022,2022-04-20,662231,2680.0,605673,1.0
2022,2022-04-20,662392,10.0,427184,1.0
2022,2022-04-20,663146,17.0,596805,1.0
2022,2022-04-20,662926,2392.0,427339,1.0
2022,2022-04-20,661404,4169.0,427206,1.0
2022,2022-04-20,662861,2394.0,427299,1.0
2022,2022-04-20,662560,3309.0,427013,1.0
2022,2022-04-20,662349,3289.0,623949,1.0
2022,2022-04-20,663247,3.0,427220,1.0
2022,2022-04-20,662703,7.0,577468,1.0
2022,2022-04-20,662178,680.0,573769,1.0
2022,2022-04-21,662593,3289.0,427315,1.0
2022,2022-04-21,663093,5.0,431232,1.0
2022,2022-04-21,662850,2394.0,427537,1.0
2022,2022-04-21,663225,3.0,428442,1.0
2022,2022-04-21,662742,7.0,608093,1.0
2022,2022-04-21,662391,10.0,521051,1.0
2022,2022-04-21,662558,3309.0,544728,1.0
2022,2022-04-21,661391,4169.0,427093,1.0
2022,2022-04-21,663145,17.0,427129,1.0
2022,2022-04-21,662177,680.0,547380,1.0
2022,2022-04-22,663169,2602.0,575629,1.0
2022,2022-04-22,662557,3309.0,484183,1.0
2022,2022-04-22,661311,3313.0,427424,1.0
2022,2022-04-22,661621,2681.0,427554,1.0
2022,2022-04-22,661914,12.0,483569,1.0
2022,2022-04-22,661569,4705.0,598411,1.0
2022,2022-04-22,663195,17.0,573596,1.0
2022,2022-04-22,662922,2392.0,503077,1.0
2022,2022-04-22,661755,3312.0,427534,1.0
2022,2022-04-22,661037,1.0,490319,1.0
2022,2022-04-22,663394,15.0,427128,1.0
2022,2022-04-22,662230,2680.0,427292,1.0
2022,2022-04-22,662175,680.0,521251,1.0
2022,2022-04-22,662390,10.0,427139,1.0
2022,2022-04-23,662849,2394.0,594151,1.0
2022,2022-04-23,662549,3309.0,483919,1.0
2022,2022-04-23,661310,3313.0,429805,1.0
2022,2022-04-23,662848,2394.0,503586,1.0
2022,2022-04-23,663144,17.0,427144,1.0
2022,2022-04-23,661752,3312.0,573597,1.0
2022,2022-04-23,661620,2681.0,482666,1.0
2022,2022-04-23,662389,10.0,427286,1.0
2022,2022-04-23,663100,2602.0,427113,1.0
2022,2022-04-23,662875,2392.0,554242,1.0
2022,2022-04-23,661941,12.0,427224,1.0
2022,2022-04-23,661568,4705.0,427019,1.0
2022,2022-04-23,663384,15.0,504381,1.0
2022,2022-04-23,662276,2680.0,427168,1.0
2022,2022-04-23,661035,1.0,596809,1.0
2022,2022-04-23,662191,680.0,427248,1.0
2022,2022-04-24,662853,2394.0,623949,1.0
2022,2022-04-24,661931,12.0,605674,1.0
2022,2022-04-24,662539,3309.0,427206,1.0
2022,2022-04-24,661590,4705.0,427013,1.0
2022,2022-04-24,661317,3313.0,483912,1.0
2022,2022-04-24,663111,2602.0,427366,1.0
2022,2022-04-24,662921,2392.0,427299,1.0
2022,2022-04-24,661781,3312.0,503490,1.0
2022,2022-04-24,663166,17.0,605670,1.0
2022,2022-04-24,661033,1.0,427053,1.0
2022,2022-04-24,662388,10.0,577468,1.0
