nhl_game_id,season,team,is_home,xgf,xga,shots_for,shots_against,gf,ga
2010020059,2010,FLA,1,3.3301,2.2612,45,48,6,0
2010020059,2010,T.B,0,2.2612,3.3301,48,45,0,6
2010020060,2010,NSH,1,3.5104,2.6533,52,46,2,3
2010020060,2010,WSH,0,2.6533,3.5104,46,52,3,2
2010020061,2010,CBJ,0,1.8807,2.3957,37,33,3,2
2010020061,2010,MIN,1,2.3957,1.8807,33,37,2,3
2010020062,2010,DAL,1,2.4429,4.1293,32,55,2,2
2010020062,2010,STL,0,4.1293,2.4429,55,32,2,2
2010020063,2010,BUF,0,3.2688,2.1459,52,34,3,4
2010020063,2010,CHI,1,2.1459,3.2688,34,52,4,3
2010020064,2010,ARI,1,1.7801,4.1546,38,50,1,2
2010020064,2010,DET,0,4.1546,1.7801,50,38,2,1
2010020065,2010,CGY,1,6.1094,1.7123,60,39,5,3
2010020065,2010,EDM,0,1.7123,6.1094,39,60,3,5
2010020066,2010,ATL,0,2.2071,4.8013,37,56,4,2
2010020066,2010,S.J,1,4.8013,2.2071,56,37,2,4
2010020067,2010,ANA,1,2.9216,2.9507,47,54,3,2
2010020067,2010,ARI,0,2.9507,2.9216,54,47,2,3
2010020068,2010,CAR,0,2.0857,3.0296,50,44,1,5
2010020068,2010,VAN,1,3.0296,2.0857,44,50,5,1
2010020069,2010,NYI,0,1.6536,3.2548,28,51,2,1
2010020069,2010,TOR,1,3.2548,1.6536,51,28,1,2
2010020070,2010,COL,0,4.7435,2.7836,44,48,3,1
2010020070,2010,NYR,1,2.7836,4.7435,48,44,1,3
2010020071,2010,OTT,0,2.1164,3.9371,41,44,2,5
2010020071,2010,PIT,1,3.9371,2.1164,44,41,5,2
2010020072,2010,DAL,0,1.3524,3.515,26,54,4,5
2010020072,2010,T.B,1,3.515,1.3524,54,26,5,4
2010020073,2010,CHI,1,2.177,2.3297,42,42,3,2
2010020073,2010,STL,0,2.3297,2.177,42,42,2,3
2010020074,2010,BOS,0,1.7224,2.7125,30,51,3,1
2010020074,2010,WSH,1,2.7125,1.7224,51,30,1,3
2010020075,2010,CGY,0,2.0784,2.9097,47,46,1,0
2010020075,2010,NSH,1,2.9097,2.0784,46,47,0,1
2010020076,2010,MIN,1,2.0781,2.7013,34,41,6,2
2010020076,2010,VAN,0,2.7013,2.0781,41,34,2,6
2010020077,2010,CAR,0,3.6979,3.9661,43,49,5,2
2010020077,2010,S.J,1,3.9661,3.6979,49,43,2,5
2010020078,2010,ATL,1,1.4805,3.5291,25,54,1,4
2010020078,2010,BUF,0,3.5291,1.4805,54,25,4,1
2010020079,2010,ANA,0,1.8485,2.5208,42,28,1,3
2010020079,2010,CBJ,1,2.5208,1.8485,28,42,3,1
2010020080,2010,CHI,1,3.1302,4.2174,47,48,1,1
2010020080,2010,VAN,0,4.2174,3.1302,48,47,1,1
2010020081,2010,CAR,0,1.9861,2.6331,42,39,3,4
2010020081,2010,L.A,1,2.6331,1.9861,39,42,4,3
2010020082,2010,BOS,1,2.6456,3.4755,45,51,4,1
2010020082,2010,WSH,0,3.4755,2.6456,51,45,1,4
2010020083,2010,NYR,0,2.3126,2.3287,43,34,2,1
2010020083,2010,TOR,1,2.3287,2.3126,34,43,1,2
2010020084,2010,ANA,0,1.6381,4.0041,32,61,3,2
2010020084,2010,PHI,1,4.0041,1.6381,61,32,2,3
2010020085,2010,CGY,0,3.2019,2.3307,46,40,2,4
2010020085,2010,DET,1,2.3307,3.2019,40,46,4,2
2010020086,2010,MTL,1,1.8243,1.0979,42,28,0,3
2010020086,2010,N.J,0,1.0979,1.8243,28,42,3,0
2010020087,2010,NYI,0,2.2079,2.4787,40,41,3,2
2010020087,2010,T.B,1,2.4787,2.2079,41,40,2,3
2010020088,2010,DAL,0,2.3571,2.5396,41,40,4,1
2010020088,2010,FLA,1,2.5396,2.3571,40,41,1,4
2010020089,2010,NSH,1,1.8451,2.5286,26,49,3,4
2010020089,2010,PIT,0,2.5286,1.8451,49,26,4,3
2010020090,2010,COL,1,2.8027,3.4797,38,47,2,4
2010020090,2010,S.J,0,3.4797,2.8027,47,38,4,2
2010020091,2010,EDM,1,2.875,3.8025,53,35,2,4
2010020091,2010,MIN,0,3.8025,2.875,35,53,4,2
2010020092,2010,ARI,1,3.0218,1.9816,39,39,4,2
2010020092,2010,L.A,0,1.9816,3.0218,39,39,2,4
2010020093,2010,CBJ,1,2.3303,1.2052,32,35,2,6
2010020093,2010,CGY,0,1.2052,2.3303,35,32,6,2
2010020094,2010,BUF,1,1.8338,3.0553,46,47,2,4
2010020094,2010,OTT,0,3.0553,1.8338,47,46,4,2
2010020095,2010,ATL,1,2.1945,4.9536,36,41,2,5
2010020095,2010,T.B,0,4.9536,2.1945,41,36,5,2
2010020096,2010,CHI,0,2.3802,2.5057,31,41,2,4
2010020096,2010,STL,1,2.5057,2.3802,41,31,4,2
2010020097,2010,MIN,0,1.3283,3.9706,36,55,1,5
2010020097,2010,VAN,1,3.9706,1.3283,55,36,5,1
2010020098,2010,BOS,1,2.5875,3.4778,50,43,2,3
2010020098,2010,NYR,0,3.4778,2.5875,43,50,3,2
2010020099,2010,MTL,0,2.07,2.0935,40,37,3,0
2010020099,2010,OTT,1,2.0935,2.07,37,40,0,3
2010020100,2010,BUF,0,2.548,2.8452,33,34,6,1
2010020100,2010,N.J,1,2.8452,2.548,34,33,1,6
2010020101,2010,PHI,1,3.8437,1.7881,55,22,5,2
2010020101,2010,TOR,0,1.7881,3.8437,22,55,2,5
2010020102,2010,ATL,0,4.3556,3.4907,46,60,3,4
2010020102,2010,WSH,1,3.4907,4.3556,60,46,4,3
2010020103,2010,FLA,1,2.5442,3.0179,39,38,4,3
2010020103,2010,NYI,0,3.0179,2.5442,38,39,3,4
2010020104,2010,ANA,0,1.4393,4.6384,34,56,4,5
2010020104,2010,DET,1,4.6384,1.4393,56,34,5,4
2010020105,2010,PIT,0,1.8813,2.4283,44,38,0,1
2010020105,2010,STL,1,2.4283,1.8813,38,44,1,0
2010020106,2010,DAL,1,2.5977,1.6546,43,32,0,1
2010020106,2010,NSH,0,1.6546,2.5977,32,43,1,0
2010020107,2010,CBJ,0,2.1151,2.9705,49,41,3,2
2010020107,2010,CHI,1,2.9705,2.1151,41,49,2,3
2010020108,2010,COL,1,2.1044,2.6786,41,39,4,6
2010020108,2010,L.A,0,2.6786,2.1044,39,41,6,4
2010020109,2010,ARI,1,3.0223,3.9006,54,53,3,4
2010020109,2010,CAR,0,3.9006,3.0223,53,54,4,3
2010020110,2010,EDM,1,1.7271,4.1105,31,44,1,6
2010020110,2010,S.J,0,4.1105,1.7271,44,31,6,1
2010020111,2010,NSH,0,1.9204,3.5124,30,60,4,3
2010020111,2010,T.B,1,3.5124,1.9204,60,30,3,4
2010020112,2010,N.J,0,1.798,3.7194,44,44,1,3
2010020112,2010,NYR,1,3.7194,1.798,44,44,3,1
2010020113,2010,CGY,1,2.5231,1.1855,46,37,4,0
2010020113,2010,S.J,0,1.1855,2.5231,37,46,0,4
2010020114,2010,CBJ,1,2.2321,1.6564,38,36,2,1
2010020114,2010,PHI,0,1.6564,2.2321,36,38,1,2
2010020115,2010,ARI,0,1.7493,1.9418,38,39,2,3
2010020115,2010,MTL,1,1.9418,1.7493,39,38,3,2
2010020116,2010,L.A,0,4.5843,2.4893,55,36,2,2
2010020116,2010,MIN,1,2.4893,4.5843,36,55,2,2
2010020117,2010,FLA,0,1.8293,2.6094,38,37,1,3
2010020117,2010,TOR,1,2.6094,1.8293,37,38,3,1
2010020118,2010,BUF,0,3.8847,4.7038,48,52,3,6
2010020118,2010,PHI,1,4.7038,3.8847,52,48,6,3
2010020119,2010,ARI,0,1.8724,4.3677,42,48,2,5
2010020119,2010,OTT,1,4.3677,1.8724,48,42,5,2
2010020120,2010,CGY,1,3.1892,1.7315,52,38,4,4
2010020120,2010,EDM,0,1.7315,3.1892,38,52,4,4
2010020121,2010,ANA,0,2.2324,3.6311,37,48,5,2
2010020121,2010,DAL,1,3.6311,2.2324,48,37,2,5
2010020122,2010,COL,0,2.3858,2.5895,46,43,3,4
2010020122,2010,VAN,1,2.5895,2.3858,43,46,4,3
2010020123,2010,ATL,0,4.2671,2.8763,36,41,6,4
2010020123,2010,NYR,1,2.8763,4.2671,41,36,4,6
2010020124,2010,CAR,1,1.8401,3.8755,44,52,0,3
2010020124,2010,WSH,0,3.8755,1.8401,52,44,3,0
2010020125,2010,MTL,1,3.6107,2.3327,48,26,5,3
2010020125,2010,NYI,0,2.3327,3.6107,26,48,3,5
2010020126,2010,PIT,0,3.2751,4.1498,39,44,3,5
2010020126,2010,T.B,1,4.1498,3.2751,44,39,5,3
2010020127,2010,CHI,1,1.8762,2.2839,36,43,3,1
2010020127,2010,L.A,0,2.2839,1.8762,43,36,1,3
2010020128,2010,N.J,0,2.2789,3.4039,39,50,2,5
2010020128,2010,S.J,1,3.4039,2.2789,50,39,5,2
2010020129,2010,BOS,1,2.0856,1.1143,46,35,2,0
2010020129,2010,TOR,0,1.1143,2.0856,35,46,0,2
2010020130,2010,ARI,0,2.9593,3.8286,42,55,4,2
2010020130,2010,DET,1,3.8286,2.9593,55,42,2,4
2010020131,2010,CBJ,1,3.1298,2.9689,52,35,2,2
2010020131,2010,EDM,0,2.9689,3.1298,35,52,2,2
2010020132,2010,FLA,0,3.3734,3.2916,43,39,3,5
2010020132,2010,OTT,1,3.2916,3.3734,39,43,5,3
2010020133,2010,NSH,1,2.2713,3.8288,37,46,0,3
2010020133,2010,STL,0,3.8288,2.2713,46,37,3,0
2010020134,2010,MIN,1,2.227,2.045,27,40,2,1
2010020134,2010,WSH,0,2.045,2.227,40,27,1,2
2010020135,2010,DAL,1,3.9247,3.5364,51,30,2,5
2010020135,2010,L.A,0,3.5364,3.9247,30,51,5,2
2010020136,2010,CGY,1,2.2512,3.6022,35,51,5,6
2010020136,2010,COL,0,3.6022,2.2512,51,35,6,5
2010020137,2010,MTL,0,2.4948,3.6696,41,48,3,1
2010020137,2010,NYI,1,3.6696,2.4948,48,41,1,3
2010020138,2010,CAR,0,4.8102,4.0735,45,52,4,3
2010020138,2010,NYR,1,4.0735,4.8102,52,45,3,4
2010020139,2010,PHI,0,2.038,2.3815,29,40,3,2
2010020139,2010,PIT,1,2.3815,2.038,40,29,2,3
2010020140,2010,ATL,1,1.7332,2.1761,26,39,4,3
2010020140,2010,BUF,0,2.1761,1.7332,39,26,3,4
2010020141,2010,CHI,1,3.5506,2.5452,50,29,4,7
2010020141,2010,EDM,0,2.5452,3.5506,29,50,7,4
2010020142,2010,ANA,1,1.7636,1.1527,39,35,1,2
2010020142,2010,N.J,0,1.1527,1.7636,35,39,2,1
2010020143,2010,NYR,0,1.6667,3.1767,28,57,1,0
2010020143,2010,TOR,1,3.1767,1.6667,57,28,0,1
2010020144,2010,FLA,0,1.9575,2.7517,43,55,2,1
2010020144,2010,MTL,1,2.7517,1.9575,55,43,1,2
2010020145,2010,BOS,0,2.77,2.1311,38,43,4,0
2010020145,2010,OTT,1,2.1311,2.77,43,38,0,4
2010020146,2010,NYI,0,3.0949,3.5591,39,48,0,6
2010020146,2010,PHI,1,3.5591,3.0949,48,39,6,0
2010020147,2010,CAR,1,4.0443,2.8721,49,44,0,3
2010020147,2010,PIT,0,2.8721,4.0443,44,49,3,0
2010020148,2010,DET,1,2.763,1.1894,37,36,5,2
2010020148,2010,NSH,0,1.1894,2.763,36,37,2,5
2010020149,2010,ATL,0,4.0298,3.2969,45,50,3,3
2010020149,2010,STL,1,3.2969,4.0298,50,45,3,3
2010020150,2010,CHI,0,2.6822,1.8189,48,31,3,1
2010020150,2010,MIN,1,1.8189,2.6822,31,48,1,3
2010020151,2010,BUF,0,2.4623,4.4937,46,67,0,4
2010020151,2010,DAL,1,4.4937,2.4623,67,46,4,0
2010020152,2010,CBJ,0,4.5848,2.9405,54,43,1,5
2010020152,2010,COL,1,2.9405,4.5848,43,54,5,1
2010020153,2010,ARI,1,1.9802,2.9975,34,35,0,3
2010020153,2010,T.B,0,2.9975,1.9802,35,34,3,0
2010020154,2010,CGY,1,3.2692,3.153,44,32,2,6
2010020154,2010,WSH,0,3.153,3.2692,32,44,6,2
2010020155,2010,L.A,1,1.6667,2.1588,31,50,3,1
2010020155,2010,N.J,0,2.1588,1.6667,50,31,1,3
2010020156,2010,ANA,0,3.2044,4.626,35,55,2,5
2010020156,2010,S.J,1,4.626,3.2044,55,35,5,2
2010020157,2010,CHI,0,2.4319,2.8545,45,34,2,3
2010020157,2010,NYR,1,2.8545,2.4319,34,45,3,2
2010020158,2010,CAR,0,1.9634,3.6169,44,51,2,3
2010020158,2010,PHI,1,3.6169,1.9634,51,44,3,2
2010020159,2010,N.J,0,1.4928,2.0407,40,35,0,2
2010020159,2010,VAN,1,2.0407,1.4928,35,40,2,0
2010020160,2010,OTT,0,2.5672,2.9391,37,54,2,2
2010020160,2010,TOR,1,2.9391,2.5672,54,37,2,2
2010020161,2010,CBJ,1,1.8832,2.0976,32,41,3,0
2010020161,2010,MTL,0,2.0976,1.8832,41,32,0,3
2010020162,2010,MIN,1,1.706,1.785,26,44,1,0
2010020162,2010,S.J,0,1.785,1.706,44,26,0,1
2010020163,2010,EDM,1,2.4849,3.6411,40,48,3,4
2010020163,2010,VAN,0,3.6411,2.4849,48,40,4,3
2010020164,2010,BOS,0,1.8414,2.9966,34,50,5,2
2010020164,2010,BUF,1,2.9966,1.8414,50,34,2,5
2010020165,2010,TOR,0,3.373,3.4028,39,44,4,4
2010020165,2010,WSH,1,3.4028,3.373,44,39,4,4
2010020166,2010,CAR,1,2.8157,2.919,41,52,7,2
2010020166,2010,NYI,0,2.919,2.8157,52,41,2,7
2010020167,2010,ATL,0,1.7389,3.5492,33,64,4,3
2010020167,2010,FLA,1,3.5492,1.7389,64,33,3,4
2010020168,2010,CHI,1,3.1359,3.0143,43,29,3,5
2010020168,2010,N.J,0,3.0143,3.1359,29,43,5,3
2010020169,2010,DAL,1,2.4226,1.4348,40,36,4,2
2010020169,2010,PIT,0,1.4348,2.4226,36,40,2,4
2010020170,2010,CGY,1,2.0951,3.2802,28,50,1,2
2010020170,2010,DET,0,3.2802,2.0951,50,28,2,1
2010020171,2010,ARI,1,2.0939,2.8703,40,39,4,3
2010020171,2010,NSH,0,2.8703,2.0939,39,40,3,4
2010020172,2010,ANA,1,2.4974,2.1218,43,44,3,2
2010020172,2010,T.B,0,2.1218,2.4974,44,43,2,3
2010020173,2010,NYR,0,1.8049,2.0161,34,27,1,4
2010020173,2010,PHI,1,2.0161,1.8049,27,34,4,1
2010020174,2010,ATL,1,1.5211,2.2576,33,52,0,3
2010020174,2010,CBJ,0,2.2576,1.5211,52,33,3,0
2010020175,2010,NYI,0,2.6726,3.8768,36,37,1,4
2010020175,2010,OTT,1,3.8768,2.6726,37,36,4,1
2010020176,2010,S.J,0,2.1698,2.4684,40,46,0,2
2010020176,2010,STL,1,2.4684,2.1698,46,40,2,0
2010020177,2010,COL,1,2.3448,3.2066,46,48,1,3
2010020177,2010,VAN,0,3.2066,2.3448,48,46,3,1
2010020178,2010,L.A,1,2.0487,2.2588,34,38,1,0
2010020178,2010,T.B,0,2.2588,2.0487,38,34,0,1
2010020179,2010,N.J,1,1.9983,2.2698,46,29,0,3
2010020179,2010,NYR,0,2.2698,1.9983,29,46,3,0
2010020180,2010,BOS,0,2.5457,4.1722,32,53,3,5
2010020180,2010,WSH,1,4.1722,2.5457,53,32,5,3
2010020181,2010,BUF,1,3.2111,1.5525,40,46,2,3
2010020181,2010,MTL,0,1.5525,3.2111,46,40,3,2
2010020182,2010,CAR,0,1.7879,5.1968,46,61,4,7
2010020182,2010,FLA,1,5.1968,1.7879,61,46,7,4
2010020183,2010,CGY,0,2.2098,1.3006,48,27,1,2
2010020183,2010,MIN,1,1.3006,2.2098,27,48,2,1
2010020184,2010,ARI,0,1.9843,3.2546,35,41,3,6
2010020184,2010,DAL,1,3.2546,1.9843,41,35,6,3
2010020185,2010,DET,0,2.9516,2.5991,52,46,3,1
2010020185,2010,EDM,1,2.5991,2.9516,46,52,1,3
2010020186,2010,ANA,1,2.1743,2.7115,34,44,3,2
2010020186,2010,PIT,0,2.7115,2.1743,44,34,2,3
2010020187,2010,L.A,1,2.5865,1.5751,41,41,4,1
2010020187,2010,NSH,0,1.5751,2.5865,41,41,1,4
2010020188,2010,BOS,1,3.071,2.222,41,46,1,1
2010020188,2010,STL,0,2.222,3.071,46,41,1,1
2010020189,2010,BUF,0,2.3639,2.3398,50,44,2,2
2010020189,2010,TOR,1,2.3398,2.3639,44,50,2,2
2010020190,2010,MTL,1,1.5997,3.4661,35,38,2,3
2010020190,2010,OTT,0,3.4661,1.5997,38,35,3,2
2010020191,2010,NYI,1,2.9157,2.701,49,43,1,2
