game_id,penalty_team,n,yds
1999_12_MIA_DAL,MIA,5,42.0
1999_12_NE_BUF,BUF,6,39.0
1999_12_NE_BUF,NE,8,101.0
1999_12_NO_STL,LA,7,50.0
1999_12_NO_STL,NO,8,80.0
1999_12_NYJ_IND,IND,3,24.0
1999_12_NYJ_IND,NYJ,10,72.0
1999_12_PHI_WAS,PHI,5,59.0
1999_12_PHI_WAS,WAS,3,24.0
1999_12_SD_MIN,LAC,1,5.0
1999_12_SD_MIN,MIN,5,30.0
1999_12_TB_SEA,SEA,5,50.0
1999_12_TB_SEA,TB,2,15.0
1999_12_TEN_CLE,CLE,5,29.0
1999_12_TEN_CLE,TEN,4,18.0
1999_13_CLE_SD,CLE,13,94.0
1999_13_CLE_SD,LAC,7,56.0
1999_13_DAL_NE,DAL,6,35.0
1999_13_DAL_NE,NE,2,20.0
1999_13_GB_CHI,CHI,4,35.0
1999_13_GB_CHI,GB,3,25.0
1999_13_IND_MIA,IND,7,89.0
1999_13_IND_MIA,MIA,7,64.0
1999_13_KC_DEN,DEN,7,52.0
1999_13_KC_DEN,KC,11,106.0
1999_13_MIN_TB,MIN,8,50.0
1999_13_MIN_TB,TB,6,35.0
1999_13_NO_ATL,ATL,11,116.0
1999_13_NO_ATL,NO,7,52.0
1999_13_NYJ_NYG,NYG,3,67.0
1999_13_NYJ_NYG,NYJ,4,50.0
1999_13_PHI_ARI,ARI,1,5.0
1999_13_PHI_ARI,PHI,9,64.0
1999_13_PIT_JAX,JAX,9,98.0
1999_13_PIT_JAX,PIT,9,76.0
1999_13_SEA_OAK,LV,1,5.0
1999_13_SEA_OAK,SEA,1,14.0
1999_13_SF_CIN,CIN,2,10.0
1999_13_SF_CIN,SF,9,82.0
1999_13_STL_CAR,CAR,5,70.0
1999_13_STL_CAR,LA,5,50.0
1999_13_TEN_BAL,BAL,9,68.0
1999_13_TEN_BAL,TEN,6,91.0
1999_13_WAS_DET,DET,9,65.0
1999_13_WAS_DET,WAS,14,122.0
1999_14_ARI_WAS,ARI,5,42.0
1999_14_ARI_WAS,WAS,12,97.0
1999_14_ATL_SF,ATL,6,65.0
1999_14_ATL_SF,SF,7,87.0
1999_14_BAL_PIT,BAL,9,73.0
1999_14_BAL_PIT,PIT,12,73.0
1999_14_CAR_GB,CAR,9,64.0
1999_14_CAR_GB,GB,10,81.0
1999_14_CLE_CIN,CIN,9,84.0
1999_14_CLE_CIN,CLE,7,79.0
1999_14_DEN_JAX,DEN,9,83.0
1999_14_DEN_JAX,JAX,3,20.0
1999_14_DET_TB,DET,8,61.0
1999_14_DET_TB,TB,7,58.0
1999_14_MIA_NYJ,MIA,6,43.0
1999_14_MIA_NYJ,NYJ,2,20.0
1999_14_MIN_KC,KC,7,40.0
1999_14_MIN_KC,MIN,8,91.0
1999_14_NE_IND,IND,4,26.0
1999_14_NE_IND,NE,11,85.0
1999_14_NYG_BUF,BUF,6,63.0
1999_14_NYG_BUF,NYG,6,40.0
1999_14_OAK_TEN,LV,8,44.0
1999_14_OAK_TEN,TEN,6,55.0
1999_14_PHI_DAL,DAL,9,55.0
1999_14_PHI_DAL,PHI,6,68.0
1999_14_SD_SEA,LAC,9,55.0
1999_14_SD_SEA,SEA,5,47.0
