game_id,home_rapm,away_rapm
2019020887,0.01334,-0.01596
2019020888,0.00598,0.00405
2019020889,0.00608,-0.01632
2019020890,-0.00675,0.0012
2019020891,0.00229,-0.00732
2019020892,-0.00238,-0.00322
2019020893,-0.01271,-0.01533
2019020894,0.01885,0.01456
2019020895,0.00606,-0.01898
2019020896,-0.01632,-0.00023
2019020897,-0.00429,0.00703
2019020898,-0.00275,0.01608
2019020899,0.00894,-0.01204
2019020900,0.00391,0.00637
2019020901,-0.00341,-0.02076
2019020902,0.00598,-0.00513
2019020903,0.00875,-0.01818
2019020904,-0.01171,0.00405
2019020905,0.00404,0.01791
2019020906,0.00229,-0.02981
2019020907,-0.00322,0.00606
2019020908,0.01885,0.0163
2019020909,0.00045,-0.00556
2019020910,-0.00341,0.01473
2019020911,0.00169,-0.00238
2019020912,-0.00023,-0.00865
2019020913,-0.01687,-0.03128
2019020914,-0.0104,-0.02735
2019020915,0.01559,-0.00556
2019020916,-0.01171,0.01957
2019020917,-0.01204,-0.01048
2019020918,0.00404,0.00405
2019020919,-0.00308,-0.00574
2019020920,0.00703,-0.00238
2019020921,-0.0002,-0.02087
2019020922,-0.00568,-0.01687
2019020923,-0.0193,-0.00054
2019020924,-0.00865,0.00283
2019020925,-0.00023,0.01885
2019020926,-0.01367,-0.00244
2019020927,-0.01818,-0.00634
2019020928,0.00844,-0.01171
2019020929,0.01972,0.00606
2019020930,-0.00355,0.02188
2019020931,-0.00299,-0.00268
2019020932,-0.00809,0.00894
2019020933,-0.02979,-0.00155
2019020934,-0.00257,-0.01147
2019020935,-0.0052,-0.01493
2019020936,-0.00154,0.00527
2019020937,-0.01173,-0.01893
2019020938,-0.00408,-0.0094
2019020939,0.00617,-0.00823
2019020940,0.01233,-0.00268
2019020941,0.02428,-0.0193
2019020942,0.01885,-0.00634
2019020943,-0.02066,0.00022
2019020944,0.0168,-0.01122
2019020945,0.01558,0.00088
2019020946,0.01972,0.01193
2019020947,-0.00299,-0.00795
2019020948,-0.00421,0.0089
2019020949,0.00703,-0.01893
2019020950,-0.00031,-0.018
2019020951,-0.02979,0.02197
2019020952,-0.01342,-0.00348
2019020953,-0.00634,-0.01181
2019020954,0.00427,0.00266
2019020955,-0.00745,-0.00104
2019020956,-0.00823,0.00088
2019020957,0.00503,-0.00451
2019020958,0.01233,-0.00277
2019020959,0.00473,-0.00031
2019020960,-0.018,-0.01534
2019020961,0.00844,-0.01149
2019020962,0.02334,-0.01181
2019020963,-0.00513,0.01558
2019020964,0.00224,-0.0103
2019020965,-0.00799,0.00416
2019020966,0.00314,0.02195
2019020967,0.00266,-0.02059
2019020968,0.00324,0.00128
2019020969,0.00636,-0.00823
2019020970,-0.00199,-0.02967
2019020971,0.02195,-0.00601
2019020972,0.00525,-0.00711
2019020973,-0.00164,-0.01534
2019020974,0.01992,0.0186
2019020975,-0.00749,-0.01448
2019020976,-0.00408,-0.02066
2019020977,-0.00208,-0.03237
2019020978,0.00521,-0.00018
2019020979,-0.00745,-0.00493
2019020980,-0.01858,0.01464
2019020981,0.00551,-0.00828
2019020982,0.00288,0.01464
2019020983,0.00211,-0.00157
2019020984,0.00285,0.0186
2019020985,0.0115,-0.00601
2019020986,-0.00646,-0.01149
2019020987,-0.00493,-0.0179
2019020988,-0.02865,-0.00823
