gsis_id,player,bucket,mu,sigma,snaps,cons,rating_0_100,active_2025,tier
00-0035695,Trayvon Mullen,DB,25.803,3.436,1879,15.494,20.0,0,D
00-0036396,Jack Driscoll,OL,25.553,2.97,1390,16.643,20.0,0,D
00-0035117,Lester Cotton,OL,25.099,2.817,819,16.648,20.0,0,D
00-0039458,Brenden Bates,TE,24.454,3.704,169,13.342,20.0,1,D
00-0033285,Daeshon Hall,DL,24.952,6.236,82,6.244,19.9,0,D
00-0033567,Brian Hill,RB,25.578,4.113,613,13.238,19.9,0,D
00-0034812,Travin Howard,LB,27.009,4.119,307,14.653,19.9,0,D
00-0032162,T.Y. McGill,DL,25.337,3.484,861,14.884,19.8,0,D
00-0032575,Matt Skura,OL,25.95,3.11,4363,16.619,19.8,0,D
00-0034366,Keke Coutee,WR,25.648,3.888,940,13.984,19.8,0,D
00-0035510,Jeff Smith,WR,24.848,3.624,656,13.977,19.8,0,D
00-0036620,Dee Eskridge,WR,24.019,3.35,470,13.968,19.8,1,D
00-0036951,Frank Darby,WR,23.657,5.927,68,5.877,19.8,0,D
00-0037316,Mark Robinson,LB,26.002,3.791,221,14.629,19.8,1,D
00-0032255,A.J. Cann,OL,25.699,3.031,5865,16.605,19.7,0,D
00-0030074,David Bakhtiari,OL,25.718,3.04,5348,16.6,19.7,0,D
00-0030089,Luke Willson,TE,25.52,4.082,1481,13.274,19.7,0,D
00-0032791,Jakeem Grant,WR,25.411,3.818,1113,13.958,19.7,0,D
00-0029530,Justin Bethel,DB,26.558,3.707,993,15.436,19.7,0,D
00-0033573,Shelton Gibson,WR,25.341,6.223,72,6.67,19.7,0,D
00-0029664,Josh Gordon,WR,25.303,3.785,1524,13.947,19.7,0,D
00-0034349,Kerryon Johnson,RB,25.233,4.013,863,13.195,19.7,0,D
00-0034726,Dallin Leavitt,DB,27.58,4.047,362,15.439,19.7,0,D
00-0035150,Kris Boyd,DB,26.657,3.737,674,15.446,19.7,0,D
00-0035577,Devlin Hodges,QB,25.279,4.45,350,11.93,19.7,0,D
00-0036999,Anthony Schwartz,WR,25.438,3.828,386,13.953,19.7,0,D
00-0037618,Zach Thomas,OL,27.114,5.211,128,11.48,19.7,0,D
00-0038561,Siaki Ika,DL,27.284,6.194,99,8.701,19.7,0,D
00-0040641,Darien Porter,DB,22.309,2.293,572,15.432,19.7,1,D
00-0032734,Brennan Scarlett,LB,26.11,3.836,1438,14.603,19.6,0,D
00-0025708,Matt Moore,QB,25.168,4.425,598,11.892,19.6,0,D
00-0022943,Benjamin Watson,TE,25.406,4.055,1626,13.24,19.6,0,D
00-0033474,Gehrig Dieter,WR,24.978,6.546,66,5.34,19.6,0,D
00-0035530,Khari Willis,DB,25.808,3.464,1988,15.416,19.6,0,D
00-0036254,Collin Johnson,WR,25.029,3.699,502,13.933,19.6,0,D
00-0039718,Bo Richter,LB,24.855,6.923,79,4.086,19.6,1,D
00-0029577,Danny Trevathan,LB,25.698,3.709,3644,14.571,19.5,0,D
