gid,season,status,rows,shift_rows,goal_rows,players_home,players_away,soft_qa,reasons
2025020847,20252026,ok,722,717,5,19,19,,
2025020848,20252026,ok,736,731,5,19,19,,
2025020849,20252026,ok,741,738,3,19,19,,
2025020850,20252026,ok,715,707,8,19,19,,
2025020851,20252026,ok,757,748,9,19,19,,
2025020852,20252026,ok,738,729,9,19,19,,
2025020853,20252026,ok,709,704,5,19,19,,
2025020854,20252026,ok,727,720,7,19,19,,
2025020855,20252026,ok,756,754,2,20,19,,
2025020856,20252026,ok,824,814,10,19,19,,
2025020857,20252026,ok,768,761,7,19,19,,
2025020910,20252026,ok,738,735,3,19,19,,
2025020911,20252026,ok,781,777,4,19,19,,
2025020912,20252026,ok,717,711,6,19,19,,
2025020913,20252026,ok,719,714,5,19,19,,
2025020914,20252026,ok,799,793,6,19,19,,
2025020915,20252026,ok,758,753,5,19,19,,
2025020916,20252026,ok,801,791,10,19,19,,
2025020917,20252026,ok,790,779,11,19,20,,
2025020918,20252026,ok,726,720,6,20,19,,
2025020919,20252026,ok,773,766,7,19,19,,
2025020920,20252026,ok,801,798,3,19,19,,
2025020921,20252026,ok,798,792,6,19,19,,
2025020922,20252026,ok,696,691,5,19,19,,
2025020923,20252026,ok,752,743,9,19,19,,
2025020924,20252026,ok,776,771,5,19,19,,
2025020925,20252026,ok,774,768,6,19,19,,
2025020926,20252026,ok,720,714,6,19,19,,
2025020927,20252026,ok,720,713,7,19,20,,
2025020928,20252026,ok,770,765,5,19,19,,
2025020929,20252026,ok,784,775,9,20,18,,
2025020930,20252026,ok,782,777,5,19,19,,
2025020931,20252026,ok,732,727,5,19,19,,
2025020932,20252026,ok,775,768,7,19,19,,
2025020933,20252026,ok,804,795,9,19,19,,
2025020934,20252026,ok,778,773,5,19,19,,
2025020935,20252026,ok,743,739,4,19,19,,
2025020936,20252026,ok,732,723,9,19,19,,
2025020937,20252026,ok,791,784,7,19,19,,
2025020938,20252026,ok,794,790,4,19,19,,
2025020939,20252026,ok,835,828,7,20,19,,
2025020940,20252026,ok,743,735,8,19,19,,
2025020941,20252026,ok,770,762,8,20,19,,
2025020942,20252026,ok,760,753,7,19,19,,
2025020943,20252026,ok,717,713,4,19,19,,
2025020944,20252026,ok,756,754,2,19,19,,
2025020945,20252026,ok,769,764,5,19,19,,
2025020946,20252026,ok,718,712,6,19,19,,
2025020947,20252026,ok,720,715,5,19,19,,
2025020948,20252026,ok,814,805,9,19,19,,
2025020949,20252026,ok,800,796,4,19,19,,
2025020950,20252026,ok,694,691,3,19,19,,
2025020951,20252026,ok,708,704,4,19,19,,
2025020952,20252026,ok,864,857,7,19,19,,
2025020953,20252026,ok,797,788,9,19,19,,
2025020954,20252026,ok,811,804,7,19,19,,
2025020955,20252026,ok,780,774,6,19,20,,
2025020956,20252026,ok,741,734,7,19,19,,
2025020957,20252026,ok,710,707,3,19,19,,
2025020958,20252026,ok,752,746,6,19,19,,
2025020959,20252026,ok,645,642,3,19,19,,
2025021301,20252026,ok,766,755,11,19,19,,
2025021302,20252026,ok,692,686,6,19,19,,
2025021303,20252026,ok,740,731,9,19,20,,
2025021304,20252026,ok,813,809,4,19,19,,
2025021305,20252026,ok,718,711,7,19,19,,
2025021306,20252026,ok,730,725,5,19,19,,
2025021307,20252026,ok,778,769,9,19,19,,
2025021308,20252026,ok,667,660,7,19,19,,
2025021309,20252026,ok,803,795,8,20,19,,
2025021310,20252026,ok,721,717,4,19,19,,
2025021311,20252026,ok,746,739,7,19,19,,
2025021312,20252026,ok,738,736,2,19,19,,
2025030111,20252026,ok,813,806,7,19,19,,
2025030112,20252026,ok,791,785,6,20,19,,
2025030113,20252026,ok,774,770,4,19,19,,
2025030114,20252026,ok,760,753,7,20,19,,
2025030115,20252026,ok,867,864,3,19,19,,
2025030116,20252026,ok,852,847,5,19,19,,
2025030121,20252026,ok,797,790,7,19,19,,
2025030122,20252026,ok,942,937,5,19,19,,
2025030123,20252026,ok,769,764,5,19,19,,
2025030124,20252026,ok,742,737,5,19,19,,
2025030125,20252026,ok,732,727,5,19,19,,
2025030126,20252026,ok,861,860,1,19,19,,
2025030127,20252026,ok,761,758,3,19,19,,
2025030131,20252026,ok,790,788,2,19,19,,
2025030132,20252026,ok,1368,1363,5,19,19,,
2025030133,20252026,ok,780,777,3,19,19,,
