game_id,play_id,passer_player_id,rusher_player_id,receiver_player_id
2016_01_CAR_DEN,1929,,00-0026153,
2016_01_CAR_DEN,1950,,00-0026153,
2016_01_CAR_DEN,1971,,00-0027939,
2016_01_CAR_DEN,1992,,00-0026153,
2016_01_CAR_DEN,2014,,00-0027939,
2016_01_CAR_DEN,2053,00-0032156,,00-0027874
2016_01_CAR_DEN,2077,,00-0029854,
2016_01_CAR_DEN,2131,,00-0029854,
2016_01_CAR_DEN,2152,00-0032156,,00-0027685
2016_01_CAR_DEN,2179,,00-0026153,
2016_01_CAR_DEN,2200,00-0027939,,00-0032055
2016_01_CAR_DEN,2222,00-0027939,,
2016_01_CAR_DEN,2278,,00-0029854,
2016_01_CAR_DEN,2299,00-0032156,,00-0029854
2016_01_CAR_DEN,2323,00-0032156,,00-0028142
2016_01_CAR_DEN,2373,00-0027939,,00-0026153
2016_01_CAR_DEN,2395,00-0027939,,00-0031118
2016_01_CAR_DEN,2487,00-0027939,,00-0031359
2016_01_CAR_DEN,2543,00-0032156,,00-0029854
2016_01_CAR_DEN,2567,,00-0032156,
2016_01_CAR_DEN,2588,00-0032156,,00-0028142
2016_01_CAR_DEN,2612,00-0032156,,00-0028142
2016_01_CAR_DEN,2636,,00-0029854,
2016_01_CAR_DEN,2657,00-0032156,,00-0031102
2016_01_CAR_DEN,2681,00-0032156,,00-0027685
2016_01_CAR_DEN,2732,00-0032156,,00-0029854
2016_01_CAR_DEN,2784,,00-0026153,
2016_01_CAR_DEN,2805,00-0027939,,00-0031359
2016_01_CAR_DEN,2864,,00-0029854,
2016_01_CAR_DEN,2885,,00-0029854,
2016_01_CAR_DEN,2907,,00-0032156,
2016_01_CAR_DEN,2928,,00-0029854,
2016_01_CAR_DEN,2949,00-0032156,,00-0027874
2016_01_CAR_DEN,2971,00-0032156,,00-0027685
2016_01_CAR_DEN,3053,,00-0029854,
2016_01_CAR_DEN,3074,00-0032156,,00-0028142
2016_01_CAR_DEN,3096,,00-0029854,
2016_01_CAR_DEN,3134,,00-0029854,
2016_01_CAR_DEN,3183,,00-0027939,
2016_01_CAR_DEN,3204,,00-0026153,
2016_01_CAR_DEN,3225,00-0027939,,00-0031118
2016_01_CAR_DEN,3260,,00-0026153,
2016_01_CAR_DEN,3281,00-0027939,,00-0025418
2016_01_CAR_DEN,3335,00-0027939,,00-0025418
2016_01_CAR_DEN,3359,,00-0027939,
2016_01_CAR_DEN,3381,,00-0026153,
2016_01_CAR_DEN,3402,00-0027939,,00-0032055
2016_01_CAR_DEN,3460,00-0032156,,00-0027874
2016_01_CAR_DEN,3482,,00-0029854,
2016_01_CAR_DEN,3503,00-0032156,,
2016_01_CAR_DEN,3597,00-0027939,,
2016_01_CAR_DEN,3616,,00-0027939,
2016_01_CAR_DEN,3637,00-0027939,,
2016_01_CAR_DEN,3706,,00-0026069,
2016_01_CAR_DEN,3727,00-0027939,,00-0032055
2016_01_CAR_DEN,3766,00-0027939,,00-0025418
2016_01_CAR_DEN,3790,00-0027939,,00-0031359
2016_01_CAR_DEN,3845,00-0027939,,00-0025418
2016_01_CAR_DEN,3867,00-0027939,,00-0031359
2016_01_CAR_DEN,3935,00-0027939,,00-0025396
2016_01_CHI_HOU,58,,00-0029615,
2016_01_CHI_HOU,79,00-0029682,,00-0031302
2016_01_CHI_HOU,103,00-0029682,,00-0029615
2016_01_CHI_HOU,127,,00-0029615,
2016_01_CHI_HOU,148,,00-0029682,
2016_01_CHI_HOU,169,,00-0029615,
2016_01_CHI_HOU,190,00-0029682,,00-0030564
2016_01_CHI_HOU,216,,00-0031569,
2016_01_CHI_HOU,237,00-0024226,,00-0029137
2016_01_CHI_HOU,261,,00-0031569,
2016_01_CHI_HOU,282,,00-0031569,
2016_01_CHI_HOU,303,00-0024226,,00-0026182
2016_01_CHI_HOU,327,00-0024226,,00-0029137
2016_01_CHI_HOU,416,,00-0031569,
2016_01_CHI_HOU,437,,00-0031569,
2016_01_CHI_HOU,524,00-0029682,,00-0029615
2016_01_CHI_HOU,571,,00-0029615,
2016_01_CHI_HOU,592,,00-0029615,
2016_01_CHI_HOU,638,,00-0031569,
2016_01_CHI_HOU,659,00-0024226,,00-0027215
2016_01_CHI_HOU,681,00-0024226,,00-0031545
2016_01_CHI_HOU,705,,00-0024226,
2016_01_CHI_HOU,746,,00-0029615,
2016_01_CHI_HOU,767,,00-0029615,
2016_01_CHI_HOU,788,,00-0029615,
2016_01_CHI_HOU,809,00-0029682,,00-0030564
2016_01_CHI_HOU,833,00-0029682,,00-0033127
2016_01_CHI_HOU,855,00-0029682,,00-0030108
2016_01_CHI_HOU,895,00-0029682,,00-0032725
2016_01_CHI_HOU,930,,00-0029615,
2016_01_CHI_HOU,951,00-0029682,,00-0032404
2016_01_CHI_HOU,975,,00-0029615,
2016_01_CHI_HOU,1029,,00-0029615,
2016_01_CHI_HOU,1050,00-0029682,,00-0033127
2016_01_CHI_HOU,1074,00-0029682,,00-0032404
2016_01_CHI_HOU,1158,00-0024226,,00-0031545
2016_01_CHI_HOU,1180,,00-0031569,
2016_01_CHI_HOU,1201,00-0024226,,00-0027125
2016_01_CHI_HOU,1242,00-0024226,,00-0027125
2016_01_CHI_HOU,1266,,00-0031057,
2016_01_CHI_HOU,1287,00-0024226,,
2016_01_CHI_HOU,1331,,00-0029615,
2016_01_CHI_HOU,1352,00-0029682,,00-0029615
2016_01_CHI_HOU,1376,00-0029682,,00-0033069
2016_01_CHI_HOU,1400,,00-0029615,
2016_01_CHI_HOU,1421,00-0029682,,00-0031302
2016_01_CHI_HOU,1443,00-0029682,,00-0030564
2016_01_CHI_HOU,1467,,00-0032404,
2016_01_CHI_HOU,1488,,00-0029615,
2016_01_CHI_HOU,1509,,00-0031085,
2016_01_CHI_HOU,1530,00-0029682,,00-0030564
2016_01_CHI_HOU,1588,00-0024226,,00-0029137
