player,gsis_id,bucket,rating_0_100,tier,n_eff
Nathan Shepherd,00-0034760,DL,56.7,A,3421
Mecole Hardman,00-0035140,WR,56.7,B,2380
Jack Jones,00-0038039,DB,56.7,B,2778
Colston Loveland,00-0040126,TE,56.7,B,782
Tyrod Taylor,00-0028118,QB,56.6,B,3087
Jaire Alexander,00-0034728,DB,56.6,B,4755
Jonah Williams,00-0035629,OL,56.6,B,4798
Jordyn Brooks,00-0036409,LB,56.6,B,5089
Dillon Radunz,00-0036619,OL,56.6,B,2619
Jayden Reed,00-0039146,WR,56.6,B,1511
Lucas Patrick,00-0033082,OL,56.5,B,4260
Taysom Hill,00-0033357,TE,56.5,B,2440
AJ Dillon,00-0036265,RB,56.5,B,1596
Jack Campbell,00-0039018,LB,56.5,B,2718
Nick Emmanwori,00-0040733,DB,56.5,B,898
KhaDarel Hodge,00-0034854,WR,56.4,B,1552
Terrel Bernard,00-0037254,LB,56.4,B,2546
KaVontae Turpin,00-0037801,WR,56.4,B,846
Kirk Cousins,00-0029604,QB,56.3,B,9002
Harrison Phillips,00-0034782,DL,56.3,B,4196
Bilal Nichols,00-0034387,DL,56.3,B,3574
Kendall Lamm,00-0031921,OL,56.2,B,2608
Greg Van Roten,00-0029685,OL,56.2,B,6490
Tytus Howard,00-0035234,OL,56.2,B,5615
Jordan Mailata,00-0034429,OL,56.2,B,5949
A.J. Epenesa,00-0036192,DL,56.2,B,2679
Roger Rosengarten,00-0039233,OL,56.2,B,1959
Jordan Morgan,00-0039904,OL,56.2,B,951
Xavien Howard,00-0033050,DB,56.1,B,6277
Cory Durden,00-0038653,DL,56.1,B,609
Marcedes Lewis,00-0024243,TE,56.0,B,3900
Allen Lazard,00-0034521,WR,56.0,B,4146
Marquise Brown,00-0035662,WR,56.0,B,4529
Ricky Pearsall,00-0039916,WR,56.0,B,925
Chuck Clark,00-0033294,DB,55.9,B,5317
Oren Burks,00-0034754,LB,55.9,B,1738
Will Harris,00-0035655,DB,55.9,B,4025
Brian Burns,00-0035713,LB,55.9,B,5218
Elijah Molden,00-0036992,DB,55.9,B,2612
Jaelan Phillips,00-0036934,LB,55.9,B,2705
Marshon Lattimore,00-0033874,DB,55.8,B,6625
Tim Settle,00-0034397,DL,55.8,B,2772
