nhl_game_id,team,is_home,pp_xgf,pp_shots
2013020871,CBJ,0,0.0797,10
2013020871,SJS,1,1.2485,11
2013020872,CGY,0,0.0222,3
2013020872,PHI,1,0.097,3
2013020873,STL,1,0.8723,15
2013020873,WPG,0,0.7623,8
2013020874,BOS,1,0.6595,7
2013020874,OTT,0,0.5839,9
2013020875,TOR,1,0.3307,5
2013020875,VAN,0,1.6804,6
2013020876,CAR,1,0.3533,4
2013020877,DET,0,0.0495,6
2013020877,TBL,1,0.5688,6
2013020878,COL,0,0.0285,3
2013020878,NYI,1,1.9497,14
2013020879,NJD,0,0.0874,7
2013020879,WSH,1,0.5346,7
2013020880,ANA,0,0.7309,4
2013020880,NSH,1,0.892,10
2013020881,ARI,0,0.607,13
2013020881,DAL,1,1.1735,15
2013020882,BOS,0,1.8336,13
2013020882,BUF,1,0.987,9
2013020883,DET,0,0.7092,1
2013020883,MTL,1,0.234,4
2013020884,COL,1,1.8112,12
2013020884,LAK,0,0.6725,6
2013020885,STL,0,0.0423,5
2013020885,VAN,1,0.2945,8
2013020886,CBJ,0,0.0137,2
2013020886,NJD,1,0.622,6
2013020887,NYI,1,0.6656,8
2013020887,TOR,0,0.0303,4
2013020888,CHI,0,0.0921,8
2013020888,NYR,1,0.2232,4
2013020889,PHI,1,0.6846,8
2013020889,SJS,0,0.7037,5
2013020890,MTL,0,0.702,5
2013020890,PIT,1,1.2832,16
2013020891,DET,0,1.1328,4
2013020891,OTT,1,1.0591,13
2013020892,FLA,1,1.1973,16
2013020892,WSH,0,1.6992,9
2013020893,NSH,1,1.0505,9
2013020893,TBL,0,0.486,2
2013020894,ARI,0,2.7877,14
2013020894,WPG,1,0.4957,7
2013020895,CAR,0,0.3027,9
2013020895,DAL,1,0.9857,16
2013020896,CGY,1,0.7127,11
2013020897,EDM,1,0.3396,2
2013020897,MIN,0,1.6485,3
2013020898,BUF,1,0.5195,7
2013020898,SJS,0,0.057,5
2013020899,ARI,0,2.2651,17
2013020899,COL,1,0.3229,6
2013020900,MIN,0,0.3924,6
2013020900,VAN,1,0.2009,3
2013020901,ANA,1,0.0356,1
2013020901,STL,0,0.0346,5
2013020902,BOS,1,0.5635,7
2013020902,WSH,0,1.2918,17
2013020903,NJD,0,2.5002,15
2013020903,NYI,1,0.4024,4
2013020904,NYR,0,0.5128,7
2013020904,PHI,1,1.9487,13
2013020905,CBJ,1,0.586,9
2013020905,FLA,0,0.0297,6
2013020906,NSH,1,1.5269,16
2013020906,WPG,0,0.0687,6
2013020907,DAL,1,0.4736,8
2013020907,TBL,0,0.7758,2
2013020908,CAR,0,0.0755,6
2013020908,LAK,1,1.2206,12
2013020909,MTL,1,0.277,6
2013020909,TOR,0,0.3966,4
2013020910,CHI,1,0.7499,12
2013020910,PIT,0,0.0959,13
2013020911,CGY,0,0.0702,8
2013020911,EDM,1,0.5858,4
2013020912,PHI,0,3.2694,15
2013020912,WSH,1,1.0326,13
