date,away_nick,home_nick,p_away,p_home,captured
2020-09-25,Astros,Rangers,0.526,0.474,live
2020-09-25,Athletics,Dodgers,0.39399999999999996,0.606,live
2020-09-25,Padres,Giants,0.578,0.42200000000000004,live
2020-09-26,Mariners,Athletics,0.33899999999999997,0.6609999999999999,live
2020-09-26,Mariners,Athletics,0.355,0.645,live
2020-09-26,Astros,Rangers,0.59,0.41,live
2020-09-26,Athletics,Mariners,0.5720000000000001,0.428,live
2020-09-26,Giants,Padres,0.382,0.618,live
2020-09-26,Astros,Rangers,0.584,0.41600000000000004,live
2020-09-27,Astros,Rangers,0.581,0.419,live
2020-09-27,Padres,Giants,0.56,0.44,live
2020-09-27,Mariners,Athletics,0.406,0.594,live
2020-09-27,Padres,Giants,0.51,0.49,live
2020-09-29,White Sox,Athletics,0.488,0.512,live
2020-09-30,White Sox,Athletics,0.469,0.531,live
2020-10-01,White Sox,Athletics,0.408,0.5920000000000001,live
2021-04-01,Diamondbacks,Padres,0.342,0.6579999999999999,live
2021-04-01,Rays,Marlins,0.45899999999999996,0.541,live
2021-04-02,Rays,Marlins,0.445,0.555,live
2021-04-02,Giants,Mariners,0.514,0.486,live
2021-04-03,Giants,Mariners,0.522,0.478,live
2021-04-03,Rays,Marlins,0.467,0.5329999999999999,live
2021-04-04,Diamondbacks,Padres,0.405,0.595,live
2021-04-04,Twins,Brewers,0.5429999999999999,0.457,live
2021-04-04,Giants,Mariners,0.507,0.493,live
2021-04-05,Twins,Tigers,0.652,0.348,live
2021-04-06,White Sox,Mariners,0.529,0.47100000000000003,live
2021-04-06,Rays,Red Sox,0.473,0.527,live
2021-04-07,Rays,Red Sox,0.467,0.5329999999999999,live
2021-04-07,Orioles,Yankees,0.396,0.604,live
2021-04-07,Mets,Phillies,0.491,0.509,live
2021-04-07,Cardinals,Marlins,0.56,0.44,live
2021-04-07,Giants,Padres,0.43200000000000005,0.568,live
2021-04-07,White Sox,Mariners,0.5920000000000001,0.408,live
2021-04-07,White Sox,Mariners,0.598,0.402,live
2021-04-08,Red Sox,Orioles,0.526,0.474,live
2021-04-08,Diamondbacks,Rockies,0.475,0.525,live
2021-04-08,Royals,White Sox,0.40299999999999997,0.597,live
2021-04-08,Angels,Blue Jays,0.573,0.42700000000000005,live
