player,gsis_id,pos,z,conservative_z,n_duels
Dylan Sampson,00-0040162,RB,-0.607,-2.354,94
Trey Benson,00-0039921,RB,-0.572,-2.358,84
Bam Knight,00-0037157,RB,-0.725,-2.365,127
Quinshon Judkins,00-0040784,RB,-0.923,-2.368,207
Braelon Allen,00-0039794,RB,-0.622,-2.377,92
Terrell Jennings,00-0039757,RB,-0.362,-2.384,32
Ronnie Rivers,00-0037557,RB,-0.47,-2.388,53
DeeJay Dallas,00-0036425,RB,-0.493,-2.395,56
Miles Sanders,00-0035243,RB,-0.951,-2.408,202
Tyler Goodson,00-0037120,RB,-0.507,-2.43,51
Hassan Haskins,00-0037617,RB,-0.53,-2.431,56
D'Ernest Johnson,00-0035628,RB,-0.687,-2.432,95
Brett Rypien,00-0034955,QB,-0.972,-2.434,54
Elijah Mitchell,00-0036567,RB,-0.716,-2.448,98
Craig Reynolds,00-0035567,RB,-0.613,-2.464,68
Trey Lance,00-0037012,QB,-1.225,-2.475,130
Brashard Smith,00-0040078,RB,-0.659,-2.489,73
Tyler Badie,00-0037085,RB,-0.562,-2.49,51
Dameon Pierce,00-0037258,RB,-0.919,-2.493,151
Devin Neal,00-0040202,RB,-0.68,-2.52,70
Trey Sermon,00-0036984,RB,-0.731,-2.557,74
Travis Homer,00-0035594,RB,-0.586,-2.583,37
Jaylen Wright,00-0039874,RB,-0.943,-2.625,114
Ollie Gordon II,00-0040198,RB,-0.815,-2.645,73
Connor Heyward,00-0037304,FB,0.186,-2.653,46
Myles Gaskin,00-0035311,RB,-0.835,-2.668,72
Jawhar Jordan,00-0039405,RB,-0.762,-2.707,47
Will Shipley,00-0039746,RB,-0.785,-2.715,50
Trayveon Williams,00-0035291,RB,-0.747,-2.727,40
LeQuint Allen Jr.,00-0040238,RB,-0.722,-2.732,34
Brady Cook,00-0040398,QB,-1.536,-2.733,155
Jaydon Blue,00-0040586,RB,-0.744,-2.739,37
Zavier Scott,00-0038440,RB,-0.791,-2.744,45
Ashton Jeanty,00-0040122,RB,-1.414,-2.786,246
Brandon Allen,00-0032434,QB,-1.475,-2.838,85
George Holani,00-0039299,RB,-0.884,-2.891,35
Chris Oladokun,00-0037324,QB,-1.529,-2.959,63
Julius Chestnut,00-0037594,RB,-0.945,-2.964,33
Dare Ogunbowale,00-0033854,RB,-1.278,-2.986,106
Clayton Tune,00-0038582,QB,-1.754,-3.254,44
Zamir White,00-0038040,RB,-1.603,-3.292,111
Max Brosmer,00-0040494,QB,-1.929,-3.309,79
C.J. Ham,00-0032918,FB,-0.388,-3.321,34
Alec Ingold,00-0035125,FB,-0.606,-3.413,51
