game_id,team,st_epa_for,n_for,st_epa_against,n_against,fx_epa_for,fx_n_for,fx_epa_against,fx_n_against
1999_05_TB_GB,GB,-1.892773,10,1.417201,10,3.206507,7,2.366826,4
1999_05_TB_GB,TB,1.417201,10,-1.892773,10,2.366826,4,3.206507,7
1999_06_CAR_SF,CAR,12.639198,13,2.531592,11,0.199490,5,2.793946,5
1999_06_CAR_SF,SF,2.531592,11,12.639198,13,2.793946,5,0.199490,5
1999_06_CLE_JAX,CLE,-4.347349,13,2.206140,6,0.030639,1,0.957061,4
1999_06_CLE_JAX,JAX,2.206140,6,-4.347349,13,0.957061,4,0.030639,1
1999_06_DAL_NYG,DAL,-5.034029,9,-1.278650,11,-5.171552,4,0.453957,3
1999_06_DAL_NYG,NYG,-1.278650,11,-5.034029,9,0.453957,3,-5.171552,4
1999_06_GB_DEN,DEN,1.551286,7,5.250109,13,-1.807725,6,1.945227,2
1999_06_GB_DEN,GB,5.250109,13,1.551286,7,1.945227,2,-1.807725,6
1999_06_IND_NYJ,IND,0.606800,8,7.144849,9,0.798982,4,0.545345,4
1999_06_IND_NYJ,NYJ,7.144849,9,0.606800,8,0.545345,4,0.798982,4
1999_06_MIA_NE,MIA,5.498962,12,-0.297819,15,6.389361,7,3.071160,6
1999_06_MIA_NE,NE,-0.297819,15,5.498962,12,3.071160,6,6.389361,7
1999_06_MIN_DET,DET,-1.165464,7,-1.086235,10,2.710319,8,0.216064,3
1999_06_MIN_DET,MIN,-1.086235,10,-1.165464,7,0.216064,3,2.710319,8
1999_06_OAK_BUF,BUF,5.562128,10,1.742168,9,0.061279,2,-2.165073,5
1999_06_OAK_BUF,LV,1.742168,9,5.562128,10,-2.165073,5,0.061279,2
1999_06_PHI_CHI,CHI,2.888552,11,2.224847,12,1.710458,5,0.534554,3
1999_06_PHI_CHI,PHI,2.224847,12,2.888552,11,0.534554,3,1.710458,5
1999_06_PIT_CIN,CIN,1.729353,10,4.980632,9,-1.778791,2,1.303144,3
1999_06_PIT_CIN,PIT,4.980632,9,1.729353,10,1.303144,3,-1.778791,2
1999_06_SEA_SD,LAC,4.266840,8,2.159161,11,-1.192727,4,-1.885018,3
1999_06_SEA_SD,SEA,2.159161,11,4.266840,8,-1.885018,3,-1.192727,4
1999_06_STL_ATL,ATL,0.332229,13,7.354280,7,0.268878,3,1.810201,7
1999_06_STL_ATL,LA,7.354280,7,0.332229,13,1.810201,7,0.268878,3
1999_06_TEN_NO,NO,0.514467,10,2.519943,10,1.254738,3,-3.264878,5
1999_06_TEN_NO,TEN,2.519943,10,0.514467,10,-3.264878,5,1.254738,3
1999_06_WAS_ARI,ARI,8.275402,12,3.797913,9,-0.656738,3,-0.699580,5
1999_06_WAS_ARI,WAS,3.797913,9,8.275402,12,-0.699580,5,-0.656738,3
1999_07_ATL_PIT,ATL,4.534507,10,3.175970,8,-2.769454,2,2.494452,3
1999_07_ATL_PIT,PIT,3.175970,8,4.534507,10,2.494452,3,-2.769454,2
1999_07_BUF_SEA,BUF,-1.348935,13,-1.881892,8,1.350606,2,2.219024,6
1999_07_BUF_SEA,SEA,-1.881892,8,-1.348935,13,2.219024,6,1.350606,2
1999_07_CHI_TB,CHI,-0.307190,10,1.341936,9,-2.775433,2,-2.120450,4
1999_07_CHI_TB,TB,1.341936,9,-0.307190,10,-2.120450,4,-2.775433,2
1999_07_CIN_IND,CIN,-2.473540,14,-0.191355,8,0.307312,2,-2.436675,6
1999_07_CIN_IND,IND,-0.191355,8,-2.473540,14,-2.436675,6,0.307312,2
1999_07_CLE_STL,CLE,0.073182,12,1.937654,5,1.458955,1,0.838292,6
1999_07_CLE_STL,LA,1.937654,5,0.073182,12,0.838292,6,1.458955,1
1999_07_DEN_NE,DEN,-0.077868,10,4.628374,13,1.603463,6,0.406526,4
1999_07_DEN_NE,NE,4.628374,13,-0.077868,10,0.406526,4,1.603463,6
1999_07_DET_CAR,CAR,1.775104,9,-0.719210,7,0.642173,3,0.418475,4
1999_07_DET_CAR,DET,-0.719210,7,1.775104,9,0.418475,4,0.642173,3
1999_07_GB_SD,GB,2.659286,6,4.038810,9,1.657083,5,0.269211,1
1999_07_GB_SD,LAC,4.038810,9,2.659286,6,0.269211,1,1.657083,5
1999_07_KC_BAL,BAL,4.893679,13,5.839846,10,-2.596899,1,-3.329350,6
1999_07_KC_BAL,KC,5.839846,10,4.893679,13,-3.329350,6,-2.596899,1
1999_07_NO_NYG,NO,3.706943,11,1.649874,8,0.193094,1,1.355588,5
1999_07_NO_NYG,NYG,1.649874,8,3.706943,11,1.355588,5,0.193094,1
1999_07_NYJ_OAK,LV,3.499416,10,3.281101,10,0.288988,4,2.518236,5
1999_07_NYJ_OAK,NYJ,3.281101,10,3.499416,10,2.518236,5,0.288988,4
1999_07_PHI_MIA,MIA,0.224618,8,1.056233,9,4.560080,4,1.621531,3
1999_07_PHI_MIA,PHI,1.056233,9,0.224618,8,1.621531,3,4.560080,4
1999_07_SF_MIN,MIN,4.949753,8,-3.112720,10,-2.240828,7,1.515256,4
1999_07_SF_MIN,SF,-3.112720,10,4.949753,8,1.515256,4,-2.240828,7
1999_07_WAS_DAL,DAL,1.553560,9,-4.501039,13,0.761594,6,0.866436,4
1999_07_WAS_DAL,WAS,-4.501039,13,1.553560,9,0.866436,4,0.761594,6
1999_08_BUF_BAL,BAL,6.341310,11,0.324298,9,-1.178802,3,1.105479,3
1999_08_BUF_BAL,BUF,0.324298,9,6.341310,11,1.105479,3,-1.178802,3
1999_08_CAR_ATL,ATL,0.758811,11,7.361321,8,1.097781,5,1.862816,4
1999_08_CAR_ATL,CAR,7.361321,8,0.758811,11,1.862816,4,1.097781,5
1999_08_CHI_WAS,CHI,4.225846,14,0.392634,7,0.061279,2,2.948652,9
1999_08_CHI_WAS,WAS,0.392634,7,4.225846,14,2.948652,9,0.061279,2
1999_08_CLE_NO,CLE,-1.062850,12,7.138145,5,-3.225031,4,-0.424097,5
1999_08_CLE_NO,NO,7.138145,5,-1.062850,12,-0.424097,5,-3.225031,4
1999_08_DAL_IND,DAL,5.365444,12,-6.621641,9,0.214470,4,2.191124,6
1999_08_DAL_IND,IND,-6.621641,9,5.365444,12,2.191124,6,0.214470,4
